ISLAND OF EIGG KILDONAN,,,,,,,,,,,,
Grid ref,NM489850,Long,-6.124060,Lat,56.888166,,,,,,,
Station no,RR8211,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,4.22,4.39,6.38,6.11,4.04,6.35,4.24,5.73,5.09,,
February,,3.68,1.29,7.34,5.42,5.76,4.91,4.66,6.01,3.81,,
March,,2.89,6.69,6.67,2.50,5.89,2.62,5.38,5.79,1.36,,
April,,3.92,2.79,2.73,6.12,3.15,3.42,2.51,1.66,2.89,,
May,1.29,1.33,3.09,3.37,4.37,3.84,4.74,2.53,4.06,4.01,,
June,3.24,3.72,1.46,2.77,3.43,1.54,1.28,4.09,4.08,1.15,,
July,5.49,2.71,2.80,4.81,2.72,3.92,5.07,3.33,4.11,6.10,,
August,6.63,5.74,4.18,6.90,5.96,4.47,4.41,8.16,4.36,4.42,,
September,6.38,4.32,6.50,4.57,3.39,5.13,4.37,1.91,8.65,3.34,,
October,7.85,8.36,5.28,10.67,4.70,5.69,6.81,3.39,1.60,7.93,,
November,4.83,5.73,4.43,6.13,5.41,4.74,7.54,5.76,4.21,4.87,,
December,7.71,5.51,5.40,4.70,4.31,3.51,7.44,6.40,7.09,6.72,,
Total,,52.13,48.30,67.04,54.44,51.68,58.96,52.36,57.35,51.69,,
Calc annual,43.42,52.13,48.30,67.04,54.44,51.68,58.96,52.36,57.35,51.69,,
Difference,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
