ISLAND OF EIGG KILDONAN,,,,,,,,,,,,,,,,,,,,
Grid ref,NM489850,Long,-6.12406,Lat,56.888166,Elevation,35,ft,,,,,,,,,,,,
Station no,RR8211,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,4.22,4.39,6.38,6.11,4.04,6.35,4.24,5.73,5.09,5.16,5.04,3.38,4.78,5.79,,,,,
February,,3.68,1.29,7.34,5.42,5.76,4.91,4.66,6.01,3.81,5.57,6.29,3.44,3.94,,,,,,
March,,2.89,6.69,6.67,2.5,5.89,2.62,5.38,5.79,1.36,4.24,3.1,4.94,8.19,3.39,,,,,
April,,3.92,2.79,2.73,6.12,3.15,3.42,2.51,1.66,2.89,4.81,4.52,4.48,4.96,4.4,,,,,
May,1.29,1.33,3.09,3.37,4.37,3.84,4.74,2.53,4.06,4.01,3.33,3.47,2.59,4.33,2.22,,,,,
June,3.24,3.72,1.46,2.77,3.43,1.54,1.28,4.09,4.08,1.15,1.59,2.36,4.98,3.9,,,,,,
July,5.49,2.71,2.8,4.81,2.72,3.92,5.07,3.33,4.11,6.1,3.05,6.95,3.58,1.5,,,,,,
August,6.63,5.74,4.18,6.9,5.96,4.47,4.41,8.16,4.36,4.42,6.13,3.65,5.58,2.6,,,,,,
September,6.38,4.32,6.5,4.57,3.39,5.13,4.37,1.91,8.65,3.34,3.27,5.57,4.18,4.14,,,,,,
October,7.85,8.36,5.28,10.67,4.7,5.69,6.81,3.39,1.6,7.93,3.57,2.33,7,5.55,,,,,,
November,4.83,5.73,4.43,6.13,5.41,4.74,7.54,5.76,4.21,4.87,4.16,5.69,7.1,8.56,,,,,,
December,7.71,5.51,5.4,4.7,4.31,3.51,7.44,6.4,7.09,6.72,5.24,10.06,10.8,6.54,,,,,,
Total,,52.13,48.3,67.04,54.44,51.68,58.96,52.36,57.35,51.69,50.12,59.03,62.05,58.99,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8211,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
