SHARDLOW-OBSERVER-EVANS,,,,,,,,,,
Grid ref,SK434304,Long,-1.3567081,Lat,52.869335,Elevation,111,ft.,,
Station no,2652/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,2.25,1.06,3.35,3.2,2.96,4.4,
February,,,,0.48,2.03,1.61,3.86,0.54,1.23,
March,,,,1.74,0.56,1.4,2.57,0.26,1.6,
April,,,,2.16,2.21,1.39,1.99,0.1,1.6,
May,,,,0.77,0.25,0.53,2.72,2.35,0.99,
June,,,,0.49,2.97,3.05,0.9,1.26,1.35,
July,,,,0.86,0.25,4.55,2.75,2.7,5,
August,,,,1.6,2.1,0.71,0.4,2.13,2.5,
September,,,,1.61,4.89,3.12,1.36,2.32,1.32,
October,,,,1.07,3.12,1.25,2.11,2.17,3,
November,,,,2.09,4.24,2.3,1.42,2.38,3.97,
December,,,,3.41,2.31,1.77,2.17,3.08,1.5,
Total,,,,18.53,25.99,25.03,25.45,22.25,28.46,
,,,,,,,,,,
NGR is based on the relationships to the church and station. Altitudes match,,,,,,,,,,
