"DUNGANNON, ROCKDALE - monthly",,,,,,,,,,,,,,,,,,,,
Grid ref,IH7746173417,Long,-6.801967834,Lat,54.60318791,Elevation,270,ft,,,,,,,,,,,,
Station no,RR2294,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,6.71,2.91,4.53,2.47,2.29,3.27,5.1,2.02,2.5,3.24,,,,,,
February,,,,,3.76,3.98,2.93,1.83,0.54,2.21,1.32,0.37,2.44,5.1,,,,,,
March,,,,,3.47,2.42,3.14,1.38,4.46,1.6,3.06,2.45,0.97,1.72,,,,,,
April,,,,,1.8,2.89,1.72,1.2,1.89,3.6,1.71,2.9,0.9,1.62,,,,,,
May,,,,,3.57,2.39,4.63,1.73,3.07,3.97,2.02,3.4,5.31,1.37,,,,,,
June,,,,,0.45,0.6,2.01,0.9,5.28,0.32,3.17,3.18,4.02,5.22,,,,,,
July,,,,,2.39,2.02,3.53,2.96,4.87,2.79,2.02,2.4,2.81,3.27,,,,,,
August,,,,,3,2.07,2.23,2.49,3.66,6.03,4.26,5.34,5.97,,,,,,,
September,,,,,3.72,6.43,3.92,4.07,1.6,2.77,3.54,3.53,4.17,2.31,,,,,,
October,,,,,3.35,3.82,5.46,1.89,1.74,3.69,2.13,3.56,,3.4,,,,,,
November,,,,,3.78,2.48,2.98,2.4,4.14,2.14,7.49,2.87,4.74,2.77,,,,,,
December,,,,,4.29,2.31,5.42,3.57,3.43,3.38,1.88,,2.69,4.96,,,,,,
Total,,,,,40.29,34.32,42.5,26.89,36.97,35.77,37.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Desertcreat church 3 miles NE by E,,,,,,,,,,,,,,,,,,,,
Distances ends in the vicinity of Rockdale House; observer is Lt Col  Lowry who lived in Rockdale House,,,,,,,,,,,,,,,,,,,,
"James Lowry 1835-1897 served in the Royal Artillery, was JP and Deputy Lieutenant for the County",,,,,,,,,,,,,,,,,,,,
"Grid Ref for Rockdale House as on  OS 25"" 1888-1913 map",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge burst by frost or bottle broken so records below computed from the daily gauge,,,,,,,,,,,,,,,,,,,,
1891 Dec 6.26,,,,,,,,,,,,,,,,,,,,
1892 Oct 2.82,,,,,,,,,,,,,,,,,,,,
1893 Aug 5.5,,,,,,,,,,,,,,,,,,,,
