DUNGANNON ROCKDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH8665272938,Long,-6.6599143,Lat,54.597394,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,5.4,2.24,7.15,4.89,3.07,1.82,0.64,3.19,4.99,7.18,3.1,4.28,2.5,2.28,3.31,5.3,2.07,2.79,2.85,5.08,3.14,1.94,1.38,,
February,,,,,,1.21,4.86,3.65,2.48,2.77,2.61,4.3,3.36,3.69,3.91,4.22,2.85,1.69,0.42,2.43,1.2,0.35,1.71,4.34,5.41,0.54,2.78,3.66,,
March,,,,,,1.51,7.94,3.08,1.98,2.7,2.6,3.77,3.59,1.54,3.39,1.93,3.15,1.19,4.05,1.46,2.84,2.3,0.97,1.39,2.61,3.49,4.43,4.73,,
April,,,,,,0.45,2.18,3.3,3.21,2.87,4.06,1.85,3.53,1.86,1.64,2.69,1.58,1.06,1.65,3.28,1.47,2.81,0.76,1.34,3.28,1.58,2.01,2.82,,
May,,,,,,2.28,0.69,2.99,4.46,4.46,1.26,2.18,2.61,1.65,3.54,2.16,4.09,1.4,2.82,3.69,1.81,3.15,5.1,1.11,2.25,0.78,0.57,1.97,,
June,,,,,,3.6,3.08,2.95,5.26,5.43,3.61,4.13,3.63,2.03,0.47,0.54,2.03,0.81,5.03,0.3,2.87,2.92,4.13,4.67,2.44,1.86,4.08,5.78,,
July,,,,,,3.6,1.52,2.97,0.24,5.51,5.11,3.05,7.05,2.85,2.29,1.84,3.19,2.74,4.5,2.53,1.87,1.83,2.47,2.8,2.69,3.82,5.86,2.19,,
August,,,,,,4.12,3.27,3.78,4.39,3.59,1.92,4.72,2.63,4.46,2.86,1.97,2.08,2.23,3.25,5.76,3.88,5.19,5.64,4.9,1.33,5.3,2.52,4.99,,
September,,,,,,4.37,4.83,2.25,3.6,4.23,3.71,3.02,3.61,5.62,3.39,6.04,3.68,3.8,1.32,2.57,3.31,3.26,3.86,1.96,0.12,0.55,5.25,,,
October,,,,,,5.11,5.15,4.55,5.79,2.1,0.71,3.37,3.15,4.15,3.11,3.68,5.5,1.76,1.54,3.62,2.27,3.31,2.82,3.07,6.09,3.24,2.04,3.12,,
November,,,,,,5.21,3.91,6.57,2.46,1.13,4.54,5.56,6.83,5.21,3.66,2.37,2.8,2.29,3.86,2.13,7.49,2.94,4.54,2.58,2.84,3.56,1.32,2.62,,
December,,,,,,2.64,8.92,5.5,2.15,1.8,3.74,4.48,4.21,2.48,4.22,2.24,4.98,3.57,3.43,3.43,1.53,6.26,2.3,4.03,3.82,5.13,4.22,,,
Total,,,,,,39.5,48.59,48.74,40.91,39.66,35.69,41.07,47.39,40.53,39.66,32.78,40.21,25.04,34.15,34.51,35.84,36.39,37.09,35.04,37.96,32.99,37.02,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desertcreat church 3.5 miles W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance/direction to Curglasson House just north of Stewartstown - used for Grid Ref as reasonable estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
