CAMBRIDGE (GLISSON ROAD),,,,,,,,,,,,
Grid ref,TL458578,Long,0.131920,Lat,52.199156,,,,,,,
Station no,1203/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.73,1.41,1.03,1.11,,,,,,,,
February,3.26,0.71,1.54,2.18,,,,,,,,
March,3.53,3.44,0.43,2.29,,,,,,,,
April,3.56,1.69,2.17,0.35,,,,,,,,
May,2.14,1.51,1.41,4.08,,,,,,,,
June,1.06,2.84,2.44,2.32,,,,,,,,
July,0.77,0.54,2.30,3.41,,,,,,,,
August,3.43,3.36,3.15,4.57,,,,,,,,
September,2.32,2.57,1.30,2.12,,,,,,,,
October,1.21,2.19,3.15,2.18,,,,,,,,
November,3.50,3.33,1.50,3.63,,,,,,,,
December,1.64,2.09,0.77,2.64,,,,,,,,
Total,29.15,25.68,21.19,30.88,,,,,,,,
Calc annual,29.15,25.68,21.19,30.88,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
