WEST LOCH TARBERT (DUNMORE),,,,,,,,,,,,
Grid ref,NR791617,Long,-5.525813,Lat,55.797944,,,,,,,
Station no,5416/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.10,6.47,2.87,4.53,3.97,4.97,,,,,,
February,3.06,2.68,2.85,3.56,4.42,1.68,,,,,,
March,4.60,2.91,1.37,3.81,1.42,2.35,,,,,,
April,2.20,1.86,2.36,1.30,4.88,2.12,,,,,,
May,2.51,1.54,3.41,3.69,3.13,2.80,,,,,,
June,1.87,3.82,1.53,6.75,3.33,3.50,,,,,,
July,3.50,4.62,5.36,5.05,1.11,4.60,,,,,,
August,3.03,5.18,4.90,4.17,1.20,5.91,,,,,,
September,3.38,3.58,6.89,6.74,6.62,3.88,,,,,,
October,2.22,6.07,3.49,8.00,4.92,3.88,,,,,,
November,10.13,3.04,7.59,9.09,3.51,3.59,,,,,,
December,8.16,5.47,4.41,7.12,6.53,,,,,,,
Total,49.76,47.24,47.03,63.81,45.04,,,,,,,
Calc annual,49.76,47.24,47.03,63.81,45.04,39.28,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
