WEST LOCH TARBERT (DUNMORE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NR791617,Long,-5.525813,Lat,55.797944,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5416/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,9.42,6.01,4.52,,1.09,7.76,5.01,5.17,4.2,5.74,5.42,7.78,5.4,3.69,5.1,6.47,2.87,4.53,3.97,,,,,
February,,,,,,,7.85,2.27,4.68,,5.04,3.3,4.68,1.43,5.62,3.82,0,4.39,3.2,3.43,3.06,2.68,2.85,3.56,4.42,,,,,
March,,,,,,,3.42,4.09,4.3,,3.36,3.84,2.05,1.45,2.55,1.96,4.99,4.6,3.41,2.45,4.6,2.91,1.37,3.81,1.42,,,,,
April,,,,,,,2.56,0.47,1.76,,1.14,3.24,4.43,3.28,2.11,2.65,4.08,2.81,5.39,4.24,2.2,1.86,2.36,1.3,4.88,,,,,
May,,,,,,,1.65,3.43,0.82,,1.5,3.49,3.37,3.04,3.48,0.98,3.77,1.15,2.61,2.06,2.51,1.54,3.41,3.69,3.13,,,,,
June,,,,,,,4.27,5.11,1.88,,1.26,2.97,4.29,4.49,4.28,3.15,3.17,4.62,2.13,3.02,1.87,3.82,1.53,6.75,3.33,,,,,
July,,,,,,,5.49,5.05,5.69,,3.86,4.72,1.83,3.16,3.79,3.99,1.6,3.13,2.84,5.83,3.5,4.62,5.36,5.05,1.11,,,,,
August,,,,,,,5.25,3.34,2.68,,5.38,5.03,7.86,3,1.76,3.98,0,5.29,3.29,5.09,3.03,5.18,4.9,4.17,1.2,,,,,
September,,,,,,,2.79,4.3,4.25,,2,6.53,3.65,7.15,5.23,5.49,4.95,7.79,2.32,10.09,3.38,3.58,6.89,6.74,6.62,,,,,
October,,,,,,,2.85,9.77,3.08,9.41,5.68,7.15,8.74,8.83,5.64,0.78,1.69,7.87,6.78,6.06,2.22,6.07,3.49,8,4.92,,,,,
November,,,,,,,1.88,7.07,7,7.68,4.2,1.87,4.98,8.83,1.07,4.08,7.84,3.12,7.17,5.63,10.13,3.04,7.59,9.09,3.51,,,,,
December,,,,,,,2.29,5.94,4,6.43,3.14,6.26,3.82,5.73,4.97,6.47,4.23,6.54,8.36,2.04,8.16,5.47,4.41,7.12,6.53,,,,,
Total,,,,,,,49.72,56.85,44.66,,37.65,56.16,54.71,55.56,44.7,43.09,41.74,59.09,52.9,53.63,49.76,47.24,47.03,63.81,45.04,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1939 P Nov Dec Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Feb Mar apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Jan May Au Oct part est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Nov Dec estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 too much Est Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5416/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,680677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
