"BARCALDINE",,,,,,,,,,,,
Grid ref,NM958415,Long,-5.321151,Lat,56.521065,,,,,,,
Station no,5399,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.76,6.06,5.19,8.22,4.14,3.94,8.40,7.33,2.22,4.76,,
February,5.15,3.53,4.10,5.83,3.01,2.15,6.06,2.69,2.83,4.32,,
March,4.72,5.80,2.39,5.04,1.61,2.37,8.04,1.30,6.09,2.88,,
April,4.79,3.15,4.50,2.91,5.21,2.55,2.98,3.42,5.40,5.23,,
May,0.71,2.15,5.17,4.10,3.14,5.28,1.70,5.75,2.74,2.85,,
June,2.91,4.40,0.85,5.16,3.89,3.61,4.17,1.99,4.15,4.47,,
July,4.18,4.35,8.62,4.70,1.23,6.66,6.47,2.81,8.08,4.44,,
August,4.94,5.34,6.89,5.33,1.75,4.78,6.05,5.87,4.09,4.13,,
September,5.49,4.95,10.39,8.53,7.95,7.10,4.80,6.59,2.80,3.98,,
October,4.02,6.22,5.25,12.93,6.07,5.32,10.88,8.81,7.72,2.72,,
November,7.90,2.64,12.81,11.92,2.77,5.60,3.14,2.33,7.87,6.42,,
December,11.89,9.74,7.62,12.10,8.50,11.93,8.88,7.14,10.49,9.41,,
Total,64.46,58.33,73.78,86.77,49.27,61.29,71.57,56.03,64.48,55.61,,
Calc annual,64.46,58.33,73.78,86.77,49.27,61.29,71.57,56.03,64.48,55.61,,
Difference,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
