ODIHAM-PRIORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SU738510,Long,-0.94388,Lat,51.2537,Elevation,330,ft,,,,,,,,,,,,
Station no,RR7649,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.06,3.25,0.56,1.32,1.76,2.72,2.65,2.88,3.48,,,
February,,,,,,,,,1.84,4.55,3.64,2.05,1.89,5.16,2.81,3.48,0.49,,,
March,,,,,,,,,1.32,0.55,1.25,1.95,0.88,1.17,2.16,1.9,2.02,,,
April,,,,,,,,,1.54,2.87,1.96,0.41,3.15,1.4,1.74,1.55,1.94,,,
May,,,,,,,,,4.21,3.27,0.27,1.05,1.66,2.11,0.68,4.3,3.82,,,
June,,,,,,,,,1.95,4.5,2.87,2.06,2.75,1.83,2.11,1.73,0.84,,,
July,,,,,,,,,1.79,3.47,4.43,1.81,2.41,2.35,2.4,0.13,2.01,,,
August,,,,,,,,,4.64,5.44,1.13,5.45,1.76,0.63,1.48,1.14,0.84,,,
September,,,,,,,,,1.24,1.96,5.73,1.86,3.18,3.49,2.17,4.66,1.84,,,
October,,,,,,,,,3.06,0.49,4.69,2.13,5.91,2.11,0.95,3.8,4.77,,,
November,,,,,,,,,3.38,1.18,2.39,4.08,3.38,3.52,1.77,3.17,3.25,,,
December,,,,,,,,,1.56,0.87,3.18,3.24,2.33,0.7,2.78,1.32,5.29,,,
Total,,,,,,,,,27.59,32.4,32.1,27.41,31.06,27.19,23.7,30.06,30.59,,,
