"SUDBURY (NEWTON ROAD)",,,,,,,,,,,,
Grid ref,TL876413,Long,0.733778,Lat,52.038357,,,,,,,
Station no,RR3149,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.73,0.66,0.77,1.87,2.00,0.96,3.24,1.09,0.74,,,
February,3.11,0.70,0.95,0.40,2.67,1.00,1.95,0.98,1.33,,,
March,1.03,2.19,1.19,1.90,1.90,1.68,1.58,0.99,1.79,,,
April,1.23,1.91,0.89,2.41,0.83,1.77,1.26,3.17,2.06,,,
May,1.03,1.04,2.91,2.48,1.41,1.16,1.32,2.20,1.05,,,
June,2.61,2.70,2.81,4.91,1.41,2.75,2.03,1.63,0.72,,,
July,1.29,1.48,1.60,4.27,2.78,0.80,0.98,1.86,3.51,,,
August,2.89,0.96,3.64,3.25,1.41,2.40,0.68,2.31,1.98,,,
September,0.41,1.02,0.88,2.15,1.03,1.50,1.21,0.47,0.61,,,
October,1.80,2.30,2.04,4.76,0.81,1.10,3.94,2.22,1.45,,,
November,1.70,0.79,1.49,1.91,1.09,2.10,3.97,2.18,1.50,,,
December,2.50,3.04,1.20,1.19,1.61,0.68,2.41,2.71,1.64,,,
Total,22.33,18.79,20.37,31.50,18.95,17.90,24.57,21.81,18.38,,,
Calc annual,22.33,18.79,20.37,31.50,18.95,17.90,24.57,21.81,18.38,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,NaN,,
