"ST FILLANS, PORTMORE",,,,,,,,,,,,
Grid ref,NN831236,Long,-3.895159,Lat,56.390164,,,,,,,
Station no,RR6152,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.17,4.09,4.14,11.89,7.86,2.60,,,,,,
February,3.80,1.29,1.84,12.57,6.01,2.85,,,,,,
March,0.66,3.77,2.09,17.59,2.83,6.05,,,,,,
April,3.18,4.94,3.89,1.64,6.90,1.99,,,,,,
May,6.74,2.39,1.76,2.38,3.73,1.41,,,,,,
June,5.04,4.94,2.65,2.83,3.76,2.70,,,,,,
July,3.02,3.02,2.87,5.60,2.93,1.76,,,,,,
August,3.87,3.94,2.53,6.88,6.39,6.67,,,,,,
September,2.86,5.31,5.04,6.41,7.28,3.40,,,,,,
October,5.56,5.52,4.41,13.13,2.11,3.26,,,,,,
November,6.55,2.52,7.58,3.85,1.82,8.70,,,,,,
December,12.20,4.85,10.10,7.07,6.27,6.57,,,,,,
Total,60.65,46.58,48.90,91.84,57.89,47.96,,,,,,
Calc annual,60.65,46.58,48.90,91.84,57.89,47.96,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
