KESWICK THRELKELD RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,NY318251,Long,-3.0576027,Lat,54.616425,Elevation,488,ft,,,,,,,,,,,,
Station no,RR6257,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,5.78,2.45,4.24,3.37,1.78,2.07,6.58,4.07,4.41,3.13,,,,,,
February,,,,,4.95,5.61,0.77,2.16,1.01,1.84,1.16,0.4,4.18,7.2,,,,,,
March,,,,3.2,4.71,3.01,4.39,1.16,3.25,3.52,3.35,2.9,1.41,1.92,,,,,,
April,,,,2.67,1.68,3.36,0.72,3.61,2.52,2.78,1.32,3.34,1.74,0.59,,,,,,
May,,,,1.63,3.27,3.55,5.52,2.65,2.22,2.95,2.65,3.61,5.16,2.33,,,,,,
June,,,,,0.94,1.48,1.25,0.42,1.34,1.02,4.21,1.62,4.47,4.1,,,,,,
July,,,,,7,1.49,6.82,2.98,6.18,3.24,4.01,4.76,3.1,,,,,,,
August,,,,3.65,3.35,2.71,1.95,3.09,3.17,6.66,4.81,12.03,8.95,,,,,,,
September,,,3.09,6.12,5.17,5.36,5.94,5.64,1.71,3.45,7.15,9.5,8.57,,,,,,,
October,,,3.84,5.86,3.21,6.56,6.35,3.3,4.59,5.34,4.86,8.19,7.73,,,,,,,
November,,,7.06,5.61,1.9,1.77,4.5,3.05,6.39,2.18,10.62,6.95,4.17,,,,,,,
December,,,3.39,3.83,4.14,1.59,6.37,3.17,4.48,4.12,0.37,11.22,2.99,,,,,,,
Total,,,,,46.1,38.94,48.82,34.6,38.64,39.17,51.09,68.59,56.88,,,,,,,
