LUNDIN LINKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO408023,Long,-2.955956,Lat,56.209588,Elevation,40,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5484/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.29,1.58,2.89,2.9,2.8,1.26,,,2.49,5.12,,,,,0.57,1.83,1.67,2.38,,,1.22,3.55
February,,,,,,,,,1.87,0.94,3.4,1.26,0.95,0.71,,,2.79,2.34,,,,0.46,0.76,2.08,2.49,1.81,,,0.38,1.52
March,,,,,,,,,2.67,2.85,2.37,1.77,0.65,,,,3.07,0.44,,,,,0.44,2.45,1.85,1.07,,,0.93,1.77
April,,,,,,,,,1.04,1.83,1.48,,0.88,,,,2.23,1.6,,,2.8,1.02,2.52,1.28,0.79,0.83,,,1.79,0.89
May,,,,,,,,,0.84,1.38,1.93,,4.78,,,,4.32,,,,2.86,1.61,2.08,4.5,1.9,0.69,,2.21,0.44,1.2
June,,,,,,,,,1.78,0.43,0.6,,1.68,,,,3.24,,,,1.99,2.16,0.82,1.81,1.05,2.49,,2.18,1.93,1.6
July,,,,,,,,,3.25,4.81,2.32,,1.95,,,,1.65,,,,4.47,1.9,2.91,2.47,1.47,,,4.91,3.32,2.65
August,,,,,,,,,1.54,0.91,2.58,2.03,4.74,,,,0.14,,,,3.84,3.74,1.92,3.39,0.32,,,2.84,0.36,2.71
September,,,,,,,,,1.66,2.13,0.96,2.33,2.1,,,,1.26,,,,1.39,1.25,2.66,3.14,1.33,,,1.89,0.65,1.23
October,,,,,,,,,2.53,3.44,3.21,2.03,2.32,,,,1.27,,,,0.35,1.91,1.51,6.91,1.54,,,1.61,1.26,3.86
November,,,,,,,,,3.39,4.93,2.66,0.28,1.08,,,,1.82,,,,4.91,2.15,2.9,3.12,1.26,,,0.87,5.15,3.24
December,,,,,,,,,1.07,1.11,0.89,1.51,1.09,,,,1.39,,,,1.85,2.57,2.87,2.57,4.43,,,5.54,3.66,1.76
Total,,,,,,,,,25.93,26.34,25.29,,25.02,,,,25.67,,,,,,21.96,35.55,20.1,,,,21.09,25.98
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1947 P with (),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR 1960 P Mar + Dec est by Met Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5484/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,886657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
