"DERWENT DALE BIRCHINLEE",,,,,,,,,,,,
Grid ref,SK166918,Long,-1.751673,Lat,53.422739,,,,,,,
Station no,2696,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.46,2.45,4.33,3.52,,
February,,,,,,,4.51,3.34,4.94,4.31,,
March,,,,,,,4.95,5.27,4.64,5.44,,
April,,,,,,,2.05,3.22,3.49,2.89,,
May,,,,,,,3.19,4.91,3.74,2.63,,
June,,,,,,,1.63,7.13,2.41,5.35,,
July,,,,,,,3.11,3.41,5.35,5.32,,
August,,,,,,,3.84,4.68,4.30,2.39,,
September,,,,,,,1.64,0.87,3.31,3.46,,
October,,,,,,,7.25,7.80,1.66,6.73,,
November,,,,,,,6.61,5.03,4.49,2.09,,
December,,,,,,,5.25,4.73,2.80,9.80,,
Total,52.24,,41.77,59.26,-999.00,41.61,50.49,52.84,45.46,53.93,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,50.49,52.84,45.46,53.93,,
Difference,52.24,NaN,41.77,59.26,-999.00,41.61,0.00,0.00,0.00,-0.00,,
