LINCOLN,,,,,,,,
Grid ref,SK979717,Long,-0.535,Lat,53.233,Elevation,200,ft
Station no,RR6507,,,,,,,
,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,
January,0.00,,0.32,,,,,
February,0.37,,2.40,,,,,
March,1.81,,0.25,,,,,
April,2.41,,1.50,,,,0.90,
May,3.41,,1.50,,,,1.40,
June,1.82,,2.60,,,,1.71,
July,0.32,,2.50,,,,1.82,
August,3.32,,1.74,,,,1.63,
September,3.22,,0.00,,,,2.58,
October,2.32,,2.00,,,,1.34,
November,4.03,,1.80,,,,3.59,
December,1.08,,2.70,,,,3.18,
Total,24.11,,19.31,,,,,
,,,,,,,,
TYRain_1677-1886_A_pt1/154,,,,,,,,
TYRain_1677-1886_B_pt2/021,,,,,,,,
,,,,,,,,
# No detailed location information. Grid reference is central Lincoln.,,,,,,,,
#,,,,,,,,
"# It is unclear whether the reading for January 1800 is missing or zero. A total for 1800 is present, so a zero value has been assumed.",,,,,,,,
