ABBOTSHAM-RICCARDS-DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS427273,Long,-4.24381,Lat,51.02369,Elevation,87,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,1.74,1.03,6.78,5.12,2.6,2.17,5.2,4.86,1.7,6.15,1.71,,2.49,4.87,1.43,3.54,5.76,1.89,4.11,,,,
February,,,,,,,,4.54,1.91,3.61,5.89,1.6,1.38,1.9,5.55,1.79,4.2,1.84,,0.58,5.53,2.15,2.39,1.71,4.37,6.53,,,,
March,,,,,,,,4.41,1.02,1.06,1.08,2.68,2.56,5.72,1.29,4.33,1.88,1.1,,4.04,0.87,2.02,6.33,5.43,6.6,0.76,,,,
April,,,,,,,,3.46,1.63,2.79,1.39,3.75,1.61,1.78,1.4,2.19,1.29,4.24,,2.47,2.32,2.1,0.19,5.17,2.02,1.33,,,,
May,,,,,,,,1.22,3.29,2.96,1.58,0.85,2.06,2.95,2.8,0.16,2.8,2.43,,1.44,2.2,1.14,1.48,2.78,1.36,2.91,,,,
June,,,,,,,,1.96,2.91,1.16,2.56,4.1,3.43,1.31,1.22,2.91,1.23,2.94,,1.36,2.98,3.11,6.3,1.76,1.83,1.57,,,,
July,,,,,,,,1.6,0.79,0.54,1.13,1.41,2.16,3.52,4.54,1.27,1.02,1.35,,1.69,2.9,0.34,2.63,0.43,4.59,5.08,,,,
August,,,,,,,,4.35,3.17,2.08,2.38,2.2,2,3.78,2.79,4.71,2.49,2.27,,1.8,4.53,2.88,8.33,1.06,3.55,1.51,,,,
September,,,,,,,5.59,6.02,1.09,3.52,1.63,2.93,3.44,4.05,2.69,1.51,0.83,0.7,,2.59,0.13,2.77,0.78,1.82,2.33,,,,,
October,,,,,,,4.31,1.12,6.36,3.67,5.15,4.35,4.12,11.2,2.31,3.37,5.48,5.85,,6.67,5.98,3.79,5.43,3.67,2.8,,,,,
November,,,,,,,1.15,2.66,2.79,3.57,5.18,2,5.63,2.95,3.88,4.44,3.68,2.99,,1.81,5.92,5.72,2.58,5.39,4.6,,,,,
December,,,,,,,5.95,6.04,4.56,3.48,6.21,7.19,3.04,4.08,3.52,1.53,3.57,5.49,,5.76,5.54,8.02,6.54,3.84,7.59,,,,,
Total,,,,,,,,39.12,30.55,35.22,39.3,35.66,33.6,48.44,36.85,29.91,34.62,32.91,,32.7,43.77,35.47,46.52,38.82,43.53,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901 Jan 1st Gauge moved 50ft S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
