CHURCHSTANTON-STAPLEY,,,,,,,,,,,,,,,,,,,,
Grid ref,ST188136,Long,-3.15583,Lat,50.9168,Elevation,700,ft,,,,,,,,,,,,
Station no,2106/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,0.88,5.57,8.93,5.61,7.89,2.76,5.41,4.18,9.84,2.92,2.98,4.9,4.5,8.34,,
February,,,,,5.02,3.61,8.78,1.88,2.79,4.02,4.74,0.43,2.14,0.82,3.31,4.06,1.5,1.94,,
March,,,,,1.43,4.54,7.69,0.2,1.63,3.68,5.12,3.25,1.55,0.21,0.92,1.67,7.33,1.62,,
April,,,,,5.68,2.44,3.63,0.21,3.75,2.71,2.79,2.27,1.17,2.36,1.2,3.54,2.85,2.12,,
May,,,,,2.22,0.84,2.47,2.99,1.2,2.53,2.38,7.54,3.07,1.8,3.86,5.77,3.61,4.16,,
June,,,,,4.49,2.12,1.09,1.63,3.41,1,2.19,0.61,1.68,3.13,3.43,2.77,2.22,2.33,,
July,,,,,0.39,6.17,4.89,5.03,7.31,2.89,1.94,1.99,3.86,2.64,2.13,1.14,1.86,1.42,,
August,,,,,2.4,0.35,0.82,2.67,2.53,0.27,4.27,5.35,3.14,2.63,2.57,5.21,1.52,4.48,,
September,,,,,4.06,2.53,3.23,2.13,1.13,1.8,1.63,3.04,3.48,2.71,3.16,5.32,1.56,2.05,,
October,,,,,5.28,2.27,4.93,4.14,5.28,6.14,2.54,4.54,4.46,6.11,4.96,1.96,0.77,3.68,,
November,,,,,7.69,4.5,2.42,6.8,9.16,8.91,4.2,1.46,3.21,7.07,1.36,7.69,2.97,2.71,,
December,,,,,5.42,3.98,4.75,5.04,3.02,4.01,2.78,5.55,4.47,4.08,6.76,5.31,3.64,7.71,,
Total,,,,,44.96,38.92,53.63,38.33,49.1,40.72,39.99,40.21,42.07,36.48,36.64,49.34,34.33,42.56,,
,,,,,,,,,,,,,,,,,,,,
Rising Sun Stapley,,,,,,,,,,,,,,,,,,,,
This was a private residence Previously the pub ,,,,,,,,,,,,,,,,,,,,
Elevation given of 600 feet far too low for the village,,,,,,,,,,,,,,,,,,,,
1947 Jan Feb in brackets Maybe estimated for snow,,,,,,,,,,,,,,,,,,,,
1948 Dec Station ceased House sold spring 1949,,,,,,,,,,,,,,,,,,,,
