ELY-ROSWELL-PITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL560805,Long,0.291548,Lat,52.400283,Elevation,20,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1215/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.88,2.74,2.5,3.16,1.39,1.43,2.39,4.05,1.58,1.69,0.92,1.42,,1.07,1.02,2.31,1.56,1.08,0.94,1.36,2.82,1.46,1.96,2.28,2.38
February,,,,,,2.28,2.58,0.44,0.36,1.52,2,0.58,0.69,0.76,1.42,1.14,1.1,,0.66,2.81,2.14,0.72,0.98,2.08,1.69,0.47,2.02,2.26,0.12,1.12
March,,,,,,0.51,3.11,0.31,1.57,2.37,3.22,1.38,0.67,0.28,0.94,1.07,4.25,,0.71,0.56,3.33,2.33,0.33,2.65,1.41,0.37,1.7,0.79,2.23,1.42
April,,,,,,1.37,2.48,0.34,1.63,1.18,0.97,0.88,0.88,1.48,0.97,1.1,1.3,,1.44,1.93,2.49,1.53,1.83,0.44,0.6,1.01,0.14,0.55,1.22,0.28
May,,,,,,0.8,2.51,1.67,0.71,1.18,1.76,2.16,1.64,1.37,1.74,1.66,,,1.89,3.08,2.79,1.45,1.52,2.61,2,0.81,0.92,2.49,0.45,0.68
June,,,,,,2.72,1.39,1.08,1.33,0.44,0.77,0.41,2.52,0.92,1.75,3.31,2.93,,0.91,1.5,1.62,1.13,3.78,2.3,2.25,2.04,1.52,4.42,1.92,2.61
July,,,,,,5.96,1.77,1.52,1.35,2.11,2.7,3.28,0.83,2.7,0.9,2.1,1.56,,2.52,6.91,0.65,0.82,2.57,2.55,0.13,2.79,3.58,4.07,3.34,3.33
August,,,,,,0.85,2.48,1.11,2.17,0.27,4.1,0.95,2.33,1.84,1.72,2.71,0.02,4.05,1.1,2.69,2.7,2.14,2.45,4.6,1.16,4.35,2.41,3.78,0.89,2.36
September,,,,,,2.68,2.16,3.41,1.59,0.41,0.51,1.08,1.27,3.15,1.61,2.55,0.95,1.37,0.68,3.09,2.57,2.47,1.01,1.6,1.81,1.37,4.01,3.07,0.01,3.65
October,,,,,,1.39,1.96,1.78,3.03,1.54,1.41,3.31,1.17,2.83,2.07,0.87,,,3.88,0.48,0.88,1.96,2.54,2.06,2.5,1.22,1.19,1.9,1.65,3.85
November,,,,,,2.18,1.45,1.95,2.7,5.19,2.42,2.6,1.32,2.67,0.25,3.73,,1.27,1.89,3.28,2.78,3.07,1.21,3.47,0.99,0.9,0.94,1.53,1.19,3.72
December,,,,,,1.49,2.55,2.22,1,1.72,0.84,1.58,0.94,0.78,2.02,2.05,,1.48,1.3,1.34,1.31,1.71,0.94,2.05,1.78,1.87,1.6,2.44,2.98,2.6
Total,,,,,,25.11,27.18,18.33,20.6,19.32,22.13,20.6,18.31,20.36,17.08,23.21,,,18.05,28.69,25.57,20.89,20.24,27.35,17.68,20.02,21.49,29.26,18.28,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snow estimates kept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948 Jul Oct NR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation on TYR marked as 114ft but the defined area of Roswell Pits is at or below 20ft according to OS map.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
