HENLEY ON THAMES PEPPARD,,,,,,,,,,,,
Grid ref,SU713818,Long,-0.973533,Lat,51.530617,,,,,,,
Station no,RR6476,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,4.34,0.71,1.92,0.93,,
February,,,,,,,2.17,1.46,1.19,0.41,,
March,,,,,,,1.41,1.18,3.07,3.16,,
April,,,,,,,0.70,2.57,4.15,2.03,,
May,,,,,,,3.94,2.14,1.84,1.54,,
June,,,,,,,2.25,1.94,0.92,4.44,,
July,,,,,,,0.35,2.27,2.15,2.42,,
August,,,,,,,1.07,,2.71,1.98,,
September,,,,,,,0.81,,2.25,2.89,,
October,,,,,,,5.23,,1.29,4.47,,
November,,,,,,,3.12,,0.99,0.46,,
December,,,,,,,2.69,3.79,2.46,2.71,,
Total,,,,,,,28.08,25.88,24.94,27.44,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,28.08,16.06,24.94,27.44,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,9.82,0.00,0.00,,
