HENLEY-ON-THAMES-PEPPARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU710818,Long,-0.97785725,Lat,51.530654,Elevation,336,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,4.34,0.71,1.92,0.93,2.06,1.28,4.06,3.41,0.8,3.76,1.44,1.56,2.98,3.55,2.89,,,,,,,,,,
February,,,,,,,2.17,1.46,1.19,0.41,3.56,1.57,2.14,0.88,2.41,-999,3.83,1.1,1.47,2.69,0.59,,,,,,,,,,
March,,,,,,,1.41,1.18,3.07,3.16,0.93,1.87,3.66,2.05,4.09,-999,4.43,1.67,0.85,4.5,1.73,,,,,,,,,,
April,,,,,,,0.7,2.57,4.15,2.03,1.99,1.54,0.02,2.88,0.65,0.94,0.97,2.05,3.4,2.59,3.33,,,,,,,,,,
May,,,,,,,3.94,2.14,1.84,1.54,1.71,3.24,1.36,2.67,1.4,2.72,1.55,1.38,1.73,0.35,2.82,,,,,,,,,,
June,,,,,,,2.25,1.94,0.92,4.44,5.2,1.83,3.66,0.57,1.85,1.08,2.18,2.04,0.84,1.08,2.71,,,,,,,,,,
July,,,,,,,0.35,2.27,2.15,2.42,1.91,0.54,1.89,1.02,3.23,-999,1.1,4.83,5.11,1.82,5.79,,,,,,,,,,
August,,,,,,,1.07,-999,2.71,1.98,1.83,0.8,4.89,1.08,1.76,-999,3.86,5.01,1.54,-999,1.26,,,,,,,,,,
September,,,,,,,0.81,-999,2.25,2.89,0.29,-999,2.54,1.47,0.88,-999,-999,2.05,5.21,-999,1.83,,,,,,,,,,
October,,,,,,,5.23,-999,1.29,4.47,3.4,-999,2.55,4.34,2.01,-999,-999,4.47,1.72,1.48,2.16,,,,,,,,,,
November,,,,,,,3.12,-999,0.99,0.46,3.19,3.14,1.98,2.39,2.18,-999,3.83,1.04,2.39,-999,1.3,,,,,,,,,,
December,,,,,,,2.69,3.79,2.46,2.71,4.36,6.56,3.23,1.07,6.16,5.41,3.09,0.96,2.43,-999,2.63,,,,,,,,,,
Total,,,,,,,28.08,25.88,24.94,27.44,30.43,25.43,31.98,23.83,27.42,34.2,32.09,28.16,29.67,30.25,29.04,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907 Aug-Nov -999 (9.82),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1911 Sep Oct -999 (3.06),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 Feb Mar -999 (5.06),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 Jul Aug -999 (7.24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915 Sep-Nov -999 (7.99),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916 Sep Oct -999 (5.81),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Aug Sep -999 (5.44),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Nov Dec -999 (6.75),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
