OBAN DUNOLLIE,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 85361 31523,Long,-5.482298,Lat,56.426945,Elevation,55,ft,,,,,,,,,,,,
Station no,RR8281,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,9.18,7.11,2,6.92,0.94,7.37,7.64,9.42,4.93,,,,
February,,,,,,,,8.94,2.49,2.29,6.52,4.1,6.01,8.69,5.01,9.22,,,,
March,,,,,,,,3.96,3.5,6.04,4.26,4.7,8.2,2.47,5.69,3.81,,,,
April,,,,,,,,3.21,2.94,1.73,4.18,1.27,2.73,2.51,1.13,4.45,,,,
May,,,,,,,,3.64,2.7,2.97,2.81,3.2,3.86,3.76,4.81,3.32,,,,
June,,,,,,,,8.12,3.26,3.2,2.81,5,4.36,3.17,1.79,2.57,,,,
July,,,,,,,,5.39,1.32,5.89,2.33,8.61,6.12,2.39,7.27,3.29,,,,
August,,,,,,,,5.29,4.39,6.42,2.25,4.56,4.75,5.28,4.95,2.44,,,,
September,,,,,,,,3.63,7.71,10.25,4.9,3.1,7.39,2.92,5.89,11.15,,,,
October,,,,,,,,9,7.48,3.49,1.01,3.57,5.46,6.51,8.3,5.56,,,,
November,,,,,,,,15.35,2.68,2.74,6.24,9.54,9.84,11.24,9.56,5.01,,,,
December,,,,,,,,11.28,2.15,4.71,6.99,9.17,6.95,8.81,8.35,7.6,,,,
Total,,,,,,,,86.99,47.73,51.73,51.22,57.76,73.04,65.39,72.17,63.35,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,RR8281,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,
