EUCHAN BANK,,,,,,,,,,,,,,,,,,,,
Grid ref,NS705064,Long,-4.043093,Lat,55.334538,Elevation,1080,ft,,,,,,,,,,,,
Station no,5030/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.51,13.11,6.9,5.44,7.77,10.45,2.47,7.62,5.67,5.2,10.51,9.6,3.77,7.77
February,,,,,,,1.15,6.96,8.09,5.79,7.2,4.37,2.11,5.62,2.58,1.54,5.93,6.83,2.89,8.36
March,,,,,,,7.74,6.48,2.41,5.84,4.47,4.22,1.02,4.58,2.85,4.32,6.31,1.92,6.14,2.38
April,,,,,,,11.48,4.36,7.43,4.97,4.91,4.01,4.84,2.31,3.8,2.35,3.07,2.7,6.64,8.38
May,,,,,,,6.91,2.13,3.74,2.32,3,3.23,4.15,6.69,5.73,3.69,4.6,4.48,1.81,3.44
June,,,,,,,5.04,7.24,1.1,4.07,2.94,4.13,2.19,5.15,3.77,6.48,2.1,4.99,4.33,5.39
July,,,,,,,5.86,4.32,2.26,7.92,2.58,4.69,7.83,5.12,3.45,7.7,5.28,4.82,7.13,6.14
August,,,,,,,0.14,9.62,5.27,7.73,11.23,4.3,4.22,5.97,3.06,8.49,7.52,5.53,1.98,4.8
September,,,,,,,8.09,8,2.46,14.18,7.15,2.97,9.01,11.19,7.19,8.27,4.94,7.75,2.17,5.33
October,,,,,,,3.46,6.23,7.65,5.59,1.33,6.67,6.52,11.99,5.09,5.39,6.8,6.45,11.54,6.95
November,,,,,,,9.43,5.15,10.25,5.04,13.63,3.79,9.53,13.91,4.8,3.18,3.26,2.93,11.88,13.86
December,,,,,,,3.39,10.85,12.45,3.08,11.35,6.84,8.35,9.27,10.9,10.74,8.15,7.19,15.72,9.49
Total,,,,,,,71.2,84.45,70.01,71.97,77.56,59.67,62.24,89.42,58.89,67.35,68.47,65.19,76,82.29
,,,,,,,,,,,,,,,,,,,,
13211,EUCHAN: BANK ,NS7058206393,01/01/1947,31/12/1962,,,,,,,,,,,,,,,,
