BOLTON-LE-SANDS (HILL CLOSE),,,,,,,,,,,,,,,,,,,,
Grid ref,SD484678,Long,-2.7906278,Lat,54.103486,Elevation,80,ft,,,,,,,,,,,,
Station no,3034/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.93,4.12,2.6,5.51,3.39,2.41,0.84,4.03,6.58,4.95,3.88,4.28,,,,
February,,,,,5.5,2.06,5.99,1.85,3.29,1.69,4.43,1.6,2.34,1.91,3.96,3.81,,,,
March,,,,,1.22,1.8,1.55,1.58,2,4.08,2.68,2.27,1.39,0.64,2.81,1.16,,,,
April,,,,,2.63,0.66,3.06,0.56,2.36,2.06,1.33,1.81,3.42,2.32,1.83,1.59,,,,
May,,,,,1.05,1.87,2.13,3.88,1.1,1.37,3.6,3.73,5.07,2.97,3.11,2.09,,,,
June,,,,,4.06,3.13,2.83,4,3.45,0.66,0.55,0.91,3.36,3.48,4.35,2.96,,,,
July,,,,,2.2,3.96,2.82,4.2,5.81,5.01,2.7,4.7,5.46,3.87,3.05,5.32,,,,
August,,,,,2.74,3.17,2.28,3.91,2.24,1.79,4.45,4.47,8.36,2.95,1.58,5.56,,,,
September,,,,,9.61,4.69,3.6,1.61,1.65,5.7,1.51,4.78,5.46,5.53,4.44,6.14,,,,
October,,,,,6.7,3.62,1.93,10.2,0.88,6.44,7.33,5.57,5.81,4.85,6.01,0.41,,,,
November,,,,,4.57,4.98,1.72,6.64,5.47,5.39,2.4,1.09,3.23,6.74,0.17,6.04,,,,
December,,,,,2.83,5.89,2.34,4.74,2.4,4.89,2.31,4.84,2.59,3.36,2.14,5.04,,,,
Total,,,,,45.04,39.95,32.85,48.68,34.04,41.49,34.13,39.8,53.07,43.57,37.33,44.4,,,,
,,,,,,,,,,,,,,,,,,,,
NGR based loosely on distance/direction church and station and elevation,,,,,,,,,,,,,,,,,,,,
