"HEPWORTH (POTTERSGATE HOUSE)",,,,,,,,,,,,
Grid ref,SE190063,Long,-1.714686,Lat,53.552989,,,,,,,
Station no,3170/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.90,5.30,1.30,3.49,4.05,6.65,3.00,4.06,4.68,6.26,,
February,4.25,1.65,2.65,4.35,4.10,2.00,3.50,5.81,0.22,3.30,,
March,5.10,2.05,2.70,2.80,3.40,1.65,2.25,3.08,1.57,2.56,,
April,2.80,2.05,3.05,0.74,0.95,2.90,0.45,1.14,5.60,2.09,,
May,5.40,2.45,2.75,5.16,4.45,1.15,1.34,3.39,1.17,2.52,,
June,1.55,2.05,3.75,1.72,3.05,3.50,1.15,5.44,2.08,1.43,,
July,3.00,2.05,4.45,3.50,0.80,7.60,3.27,5.65,2.69,4.36,,
August,5.75,2.80,3.85,6.15,0.70,7.65,6.44,3.58,1.31,4.23,,
September,2.50,3.21,2.60,4.40,1.50,4.25,4.62,3.90,0.20,4.00,,
October,1.05,6.50,2.25,6.40,2.45,2.35,3.84,3.40,3.88,8.39,,
November,10.20,2.35,3.60,7.70,2.30,1.85,3.09,1.17,5.00,6.10,,
December,6.90,3.30,2.00,6.20,5.05,5.43,5.10,4.81,7.88,5.70,,
Total,52.40,35.76,34.95,52.61,32.80,46.98,38.05,45.43,36.28,50.94,,
Calc annual,52.40,35.76,34.95,52.61,32.80,46.98,38.05,45.43,36.28,50.94,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
