HEPWORTH (POTTERSGATE HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE190063,Long,-1.714686,Lat,53.552989,Elevation,1165,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3170/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.81,4.96,5.8,6.2,3.88,3.75,4.11,5.85,7.3,5.08,5.23,3.55,9.2,2,2.62,3.9,5.3,1.3,3.49,4.05,6.65,3,4.06,4.68,6.26
February,,,,,,3.48,5.17,1.6,3.3,4.76,5.25,1.6,3.15,2.35,4.98,6.25,4.4,3.6,2.35,6.45,4.25,1.65,2.65,4.35,4.1,2,3.5,5.81,0.22,3.3
March,,,,,,2.87,3.41,0.7,3.6,3.53,5.4,2.25,1.99,0.75,1.1,2.35,8.25,1.75,1,1.95,5.1,2.05,2.7,2.8,3.4,1.65,2.25,3.08,1.57,2.56
April,,,,,,2.06,3.1,0.47,2.2,3.09,2.95,1.76,2.74,2.58,2.7,2.36,5.1,2.9,3.7,3.8,2.8,2.05,3.05,0.74,0.95,2.9,0.45,1.14,5.6,2.09
May,,,,,,1.53,3.39,3.09,2.7,0.71,2.75,3.65,2.99,3.18,4.52,2.65,3.4,1.9,2.25,3.1,5.4,2.45,2.75,5.16,4.45,1.15,1.34,3.39,1.17,2.52
June,,,,,,4.96,1.36,3.25,3,0.72,0.95,1.2,2.17,2.02,3.75,3.7,3.05,5.1,0.46,1.3,1.55,2.05,3.75,1.72,3.05,3.5,1.15,5.44,2.08,1.43
July,,,,,,3.51,2.45,4.36,6.9,3.65,2.28,3.35,1.57,2.8,2,3,1.85,1.5,4.65,2.1,3,2.05,4.45,3.5,0.8,7.6,3.27,5.65,2.69,4.36
August,,,,,,1.24,1.02,3.82,1.8,1.4,4.3,5.35,3.67,3.52,3.33,4.5,0.5,4.75,2.3,3,5.75,2.8,3.85,6.15,0.7,7.65,6.44,3.58,1.31,4.23
September,,,,,,3.7,1.57,2.89,2,3.35,0.5,2.08,4.3,6.55,1.82,5.7,2.12,1.4,1.35,4.85,2.5,3.21,2.6,4.4,1.5,4.25,4.62,3.9,0.2,4
October,,,,,,4.12,3.68,9.54,3.65,6.15,5.1,3.95,2.48,4.4,6.87,2.25,1.3,2.05,4.15,2.05,1.05,6.5,2.25,6.4,2.45,2.35,3.84,3.4,3.88,8.39
November,,,,,6.22,4.65,2.46,5.3,7.6,8.85,3.8,1.6,3.02,7.89,0.71,7.5,5.6,1.6,5.6,5.35,10.2,2.35,3.6,7.7,2.3,1.85,3.09,1.17,5,6.1
December,,,,,2.48,3.84,2.98,4.37,3.65,4,2.8,3.45,2.4,4.17,2.8,3.9,5.35,3.9,6.8,2.1,6.9,3.3,2,6.2,5.05,5.43,5.1,4.81,7.88,5.7
Total,,,,,,39.77,35.55,45.19,46.6,44.09,39.83,34.35,36.33,47.51,39.66,49.39,44.47,39.65,36.61,38.67,52.4,35.76,34.95,52.61,32.8,46.98,38.05,45.43,36.28,50.94
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937 October - gauge moved to 1165' from 1090' but no other information about move.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station number transcribed incorrectly as 3178/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
