"FORFAR (YEAMAN STREET) (LILLYBANK CRESCENT",,,,,,,,,,,,
Grid ref,NO467508,Long,-2.870758,Lat,56.645963,,,,,,,
Station no,5575/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.91,1.72,0.25,-999.00,,4.06,-999.00,,,,,
February,3.97,0.61,0.91,-999.00,,1.39,-999.00,,,,,
March,2.16,2.97,0.32,-999.00,,2.04,-999.00,,,,,
April,1.94,1.14,3.09,-999.00,,1.05,-999.00,,,,,
May,2.11,2.91,1.82,-999.00,,0.91,-999.00,,,,,
June,1.93,2.05,1.30,-999.00,,3.54,-999.00,,,,,
July,3.17,1.95,3.87,-999.00,,4.64,-999.00,,,,,
August,3.51,2.30,2.36,-999.00,,5.70,-999.00,,,,,
September,1.60,0.74,2.64,-999.00,,5.06,-999.00,,,,,
October,0.69,2.25,1.67,-999.00,,2.09,-999.00,,,,,
November,8.55,1.11,3.06,-999.00,,0.88,-999.00,,,,,
December,2.79,1.10,3.03,-999.00,,5.77,-999.00,,,,,
Total,36.33,20.85,24.32,-999.00,,37.13,-999.00,,,,,
Calc annual,36.33,20.85,24.32,0.00,0.00,37.13,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-999.00,NaN,0.00,-999.00,NaN,NaN,NaN,,
