FORFAR (YEAMAN STREET),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO464508,Long,-2.875207,Lat,56.646203,Elevation,226,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5575/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,2.59,1.88,1.11,5.32,6.06,4.54,3.94,3.1,3.63,4.75,4.21,1.52,4.17,2.28,4.53,5.68,1.67,2.06,3.91,1.72,0.25,,,,,,,
February,,,3.47,0.18,1.89,4.07,4.12,0.79,2.81,1.87,4.54,2.67,1.46,1.1,1.87,1.05,4.63,2.68,1.57,2.62,3.97,0.61,0.91,,,,,,,
March,,,2,3.45,1.95,2.41,3.88,0.46,2.71,2.82,1.94,1.98,0.51,0.8,0.77,2.19,3.55,0.98,1.59,2.23,2.16,2.97,0.32,,,,,,,
April,,,1.74,5.33,4.46,0.26,1.88,0.2,0.67,1.5,1.86,1.53,1.21,2.64,1.08,0.16,3.56,1.06,2.29,1.84,1.94,1.14,3.09,,,,,,,
May,,,1.79,2.29,0.95,1.38,1.97,4.13,1.2,1.35,2.76,3.56,3.24,1.79,4.75,2.23,4.37,2.85,2.25,1.08,2.11,2.91,1.82,,,,,,,
June,,,1.89,0.85,3.14,1.2,1.57,3.71,1.35,0.37,1.5,0.88,2.75,2.37,3.9,5.23,2.79,3.57,1.17,0.93,1.93,2.05,1.3,,,,,,,
July,,,3.73,3.91,1.26,4.78,3.59,4.45,4.35,5.65,3.55,3.71,1.17,2.68,2.69,3.49,1.87,2.95,2.4,4.5,3.17,1.95,3.87,,,,,,,
August,,,0.83,5.06,1.22,1.45,2.92,3.26,2.74,0.77,3.65,2.72,4.67,1.46,3.6,4.97,0.06,7.53,2.74,4.4,3.51,2.3,2.36,,,,,,,
September,,,2.26,3.32,3.62,2.94,1.11,2.73,1.73,1.83,0.99,2.73,2.96,2.76,4.35,3.83,2.35,2.56,1.84,5.5,1.6,0.74,,,,,,,,
October,,,4.15,3.57,3.66,1.47,2.38,4.2,6.95,4.49,3.81,2.25,3.76,4.55,4.49,0.39,1.47,3.26,3.44,1.1,0.69,2.25,,,,,,,,
November,,,3.1,0.92,4.21,1.9,0.64,4.12,5.8,5.87,5.3,0.69,1.21,3.56,1.48,7.4,1.92,1.06,4.31,3.73,8.55,1.11,,,,,,,,
December,,,2.02,5.27,2.53,2.54,4.08,4.24,1.37,1.42,1.21,3.16,1.43,2.6,6.46,4.01,1.93,4.93,2.26,1.44,2.79,1.1,,,,,,,,
Total,,,29.57,36.03,30,29.72,34.2,36.83,35.62,31.04,34.74,30.63,28.58,27.83,39.61,37.23,33.03,39.11,27.53,31.43,36.33,20.85,,,,,,,,
