FORFAR (YEAMAN STREET) (LILLYBANK CRESCENT,,,,,,,,,,
Grid ref,NO467508,Long,-2.870758,Lat,56.645963,Elevation,270,ft,,
Station no,5575/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.45,1.76,4.06,3.63,,,
February,,,,3.49,2.07,1.39,4.66,,,
March,,,,2.81,2.58,2.04,2.57,,,
April,,,,0.72,0.62,1.05,0.79,,,
May,,,,3.99,2.17,0.91,2.1,,,
June,,,,2.1,0.82,3.54,1.17,,,
July,,,,2.66,0.84,4.64,4.73,,,
August,,,,2.71,0.37,5.7,4.08,,,
September,,,2.64,2.67,1.11,5.06,1.92,,,
October,,,1.67,6.08,2.44,2.09,1.77,,,
November,,,3.06,6.84,2.41,0.88,1.93,,,
December,,,3.03,4.07,6.98,5.77,5.61,,,
Total,,,24.32,39.59,24.17,37.13,34.96,,,
,,,,,,,,,,
Gauge move 1 Sept 1953,,,,,,,,,,
"1954,55 57 Transcribed",,,,,,,,,,
