"CHATHAM",,,,,,,,,,,,
Grid ref,TQ760647,Long,0.526215,Lat,51.354114,,,,,,,
Station no,RR2659,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.92,0.34,0.92,2.14,3.65,,,,,,,
February,4.35,1.01,1.19,1.12,,,,,,,,
March,0.98,1.56,1.69,2.17,,,,,,,,
April,1.27,2.08,0.40,1.96,,,,,,,,
May,1.08,0.89,1.68,2.47,,,,,,,,
June,2.19,0.52,1.39,5.19,,,,,,,,
July,1.10,1.08,1.52,5.34,,,,,,,,
August,2.22,1.18,2.98,3.26,,,,,,,,
September,0.78,1.05,1.32,1.87,,,,,,,,
October,1.66,1.76,1.65,4.91,,,,,,,,
November,2.37,0.41,1.30,3.01,,,,,,,,
December,2.22,3.56,0.50,1.76,,,,,,,,
Total,23.14,15.44,16.54,35.20,,,,,,,,
Calc annual,23.14,15.44,16.54,35.20,3.65,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
