COBHAM-LEIGH-HILL-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ112599,Long,-0.40478,Lat,51.32753,Elevation,79,ft,,,,,,,,,,,,
Station no,RR8074,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,1.1,2.2,2.01,1.28,3.34,1.84,0.84,1.06,2.32,1.67,0.49,,,,,,,
February,,,1.08,3.88,1.41,3.03,0.34,0.57,0.94,2.16,0.97,0.13,1.12,,,,,,,
March,,,1.29,1.14,1.26,1.37,1.29,1.27,2.89,1.8,1.77,1.61,1.11,,,,,,,
April,,,2.75,1.48,1.54,1.29,1.59,1.86,1.62,2.07,1.91,0.85,0.97,,,,,,,
May,,,1.56,1.96,0.5,2.46,3.6,1.38,1.14,3.19,1.59,3.31,1.32,,,,,,,
June,,,1.8,1.51,1.55,1.59,1.06,1.24,2.54,0.69,2.19,1.2,2.36,,,,,,,
July,,,2.39,2.24,1.65,0.43,2.07,0.7,6.5,2.25,4.07,3.38,2.25,,,,,,,
August,,,1.06,0.29,1.18,0.85,0.73,1.54,2.53,1.97,1.71,4.63,3.23,,,,,,,
September,,,2.91,2.76,2.06,3.87,1.36,2.17,0.89,1.23,0.64,1.12,2.24,,,,,,,
October,,,5.22,1.96,0.62,2.44,1.99,1.59,1.42,3.36,0.98,6.41,3.66,,,,,,,
November,,,2.3,3.1,0.8,2.51,2.98,4.15,3.39,0.7,1.97,2.72,2.54,,,,,,,
December,,,1.9,0.57,2.43,1.3,3.3,1.46,1.16,1.22,0.64,2.94,1.38,,,,,,,
Total,,,25.36,23.09,17.01,22.42,23.65,19.77,25.86,21.7,20.76,29.97,22.67,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1885 Oct 5 Gauge moved 21ft S,,,,,,,,,,,,,,,,,,,,
