ARBROATH KEPTIE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO634411,Long,-2.5955,Lat,56.5606,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.41,2.57,2.55,2.03,1.71,3.12,2.71,3.9,4.91,3.32,2.57,1.4,3.03,2.01,0.92,1.22,3.41,1.75,3.32,2.71,1.83,2.08,2.57,5.51,3.63,4.05,1.6,1.1,3.63,3.18,2.22,3.92,1.27,3.88,1.77,1.92,0.96,0.93,1.14,2.67,3.06,1.59,2.76,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,3.12,1.65,0.86,0.35,5.8,1.41,2.21,0.93,1.45,2.77,0.85,1.48,2.78,1.12,1.04,1.34,1.05,1.72,1.91,0.54,2.95,2.92,2.81,1.16,1.85,1.06,2.36,3,3.6,0.89,1.1,1.3,3.07,1.62,1.26,3.4,2.25,3.87,1.51,2.89,1.75,2.72,1.5,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,0.9,1.75,1.79,1.31,0.67,2.99,0.82,0.33,4.25,0.6,1,0.83,3.07,0.12,2.7,1.28,2.58,1.96,1.93,3.2,0.81,3.01,1.33,2.38,1.96,1.92,1.04,0.68,0.69,2.52,1.81,1.02,1.77,2.19,2.15,0.8,2.62,2.11,2.62,1.66,1.97,2.88,2.11,2.73,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,3.3,0.75,1.38,2.76,1.42,2.4,1.44,1.76,2.53,0.32,1.05,0.22,0.59,3.09,3.27,1.28,2.15,0.78,1.35,1.4,1.32,1.28,1.01,1.28,2.48,2.69,1.57,0.39,5.51,1.98,0.24,0.81,0.66,3.37,2.64,1.41,2.11,2.67,0.78,2.73,1.61,1.49,2.65,1.09,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.3,0.51,1.45,2.09,4.93,0.71,2.26,2.4,0.5,1.4,0.99,2.85,1.63,2.91,2.13,2.09,0.28,1.18,1.25,4.02,1.58,1.59,2.26,1.57,3.51,1.97,1.76,1.2,0.72,3.02,2.23,2.43,0.84,0.38,2.6,1.88,2.44,0.8,1.67,2.21,1.35,1.65,2.98,2.63,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,1.9,3.31,3.51,1.5,1.82,5.27,1.98,1.38,2.13,2.6,2.02,2.72,1.61,3.2,2.67,1.51,2.7,4.75,2.53,2.84,2.51,2.11,0.44,1.03,1.37,0.44,2.53,1.83,1.42,4.37,1.37,0.64,3.4,2.59,3.34,2.87,4.26,1.53,1.96,3.24,2.08,0.37,0.85,1.15,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,4.8,3.45,2.71,4.18,2.36,2.61,3.4,1.5,2.58,1.7,2.47,1.56,1.58,2.12,0.96,3.07,2.43,1.87,2.56,3.56,1.22,2.52,3.54,2.2,4.69,0.3,0.81,1.11,3.21,1.72,4.7,1.7,2.43,1.19,3.89,0.73,5.67,3.55,3.05,3.54,4.24,4.9,0.79,3.69,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,2.2,1.89,2.8,2.42,0.99,1.95,1.48,2.89,2.6,1.82,3.03,1.46,3.73,3.78,1.63,2.27,1.42,2.96,4.74,2.64,3.87,0.81,4.38,2.15,2.78,5.26,0.95,1.7,1.48,2.11,2.66,4.97,1.56,2.5,7.44,4.78,4.15,0.59,3.94,1.3,2.94,1.55,1.52,1.29,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,0.6,2.46,2.08,2.39,0.71,1.01,1.2,1.99,1.02,1.38,1.48,1.05,0.45,5.43,2.57,2.02,1.73,1.04,4.23,2,3.69,3.66,0.49,3.01,1.75,4.68,5.13,2.14,2.49,4.61,4.65,2.1,3.41,4.05,2,3.34,1.91,3.34,3.06,1.69,1.74,1.68,3.53,2.23,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,3.4,1.09,4.28,5.58,3.13,4.17,1.22,1.65,1.34,3.17,4.87,1.99,1.95,1.54,1.28,2.67,4.1,2.51,1.98,3.02,2.51,8,4.11,2.03,2.05,2.33,2.87,3.59,2.78,3.34,2.79,1.99,4.17,3.4,3.85,2.06,0.7,2.24,3.44,3.06,1.56,1.43,1.52,3.28,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,3,4.22,2.56,2.82,1.66,2.06,2.1,2.6,1.12,4.64,2.78,3.38,1.28,2.02,2.4,1.87,3.22,4.33,3.51,0.94,2.17,2.9,3.47,1.98,0.48,1.34,0.55,2.18,2.9,4.63,2.59,2.19,4.84,4.88,3.1,2.26,1.96,2.71,3.27,3.42,1.69,1.47,1.77,2.26,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,0.3,1.42,1.43,1.11,5.3,2.26,3.11,1.38,0.5,5.43,1.82,1.34,2.25,2.25,1.01,4.31,2.21,4.64,2.11,2.48,1.8,3.54,1.85,2.97,1.14,7.22,1.41,3.62,1.39,3.45,1.84,1.75,1.81,8.98,2.75,2.49,0.94,1.66,2,4.77,1.37,2.64,1.14,2.37,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,26.38,28.21,29.57,25.37,32.94,23.54,22.8,23.4,29.42,27.6,20.82,21.02,32.27,23.75,24.33,25.38,30.48,29.66,31.33,24.73,34.2,27.88,25.98,28.88,33.63,23.73,22.4,26.69,38.98,28.95,22.92,30.11,37.87,39.26,25.65,32.08,24.41,30.59,30.27,26.11,24.87,23.17,26.98,21.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1840-1842 Total blanked (estimates only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1843 - total incomplete year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1869 Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
