LIVERPOOL BREEZE LANE and QUEENS DRIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ358949,Long,-2.9680962,Lat,53.446936,Elevation,135,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,1.23,1.96,3.5,4.66,1.96,2.15,2.61,2.65,1.31,5.21,1.08,2.06,2.15,3.02,0.82,4.74,4.31,1.46,3.95,2.07,1.92,2.26,3.34,3.94,4.25,4.1,2.14,2.52,1.79,3.25,3.85,6.58,2.4,5.1,3.44,3.06,2.06,2.31,1.85,4.26,2.23,3.17,4.89,1.79,2.12,3.75,4.15,4.39,2.04,4.22,2.51,6.71,2.63,1.26,2.52,3.76,1.59,3.14,2.5,4.25,1.88,2.69,3.34,5.29
February,,,,,,,,2.43,1.71,1.4,3.21,1.52,1.81,2.32,4.41,1.4,2.74,1.59,2.65,1.02,3.06,2.59,1.54,0.75,1.76,2.78,3.43,1.6,2.89,1.4,2.93,0.27,3.45,4.18,0.77,5.28,3.27,1.75,2.98,0.94,0.2,2.82,0.1,3.07,0.24,3.08,2.54,4.92,0.95,2.69,2.14,3.22,1.53,2.23,1.25,2.93,4.54,1.21,1.85,1.08,4.64,2.98,0.98,1.44,3.3,2.7,0.41,2.17,5.41,0.36,1.62
March,,,,,,,,2.41,0.79,1.75,1.11,1.62,2.42,3.58,2.07,3.45,2.36,2.25,3.16,2.95,0.85,1.51,5.12,3.23,3.52,1.49,1.75,3.1,1.31,6.22,4.7,2.13,1.56,1.6,1.18,1.09,1.18,3.45,1.73,0.96,2.96,0.39,2.29,2.11,1.52,0.96,1.78,1.58,1.25,1.46,2.77,3.07,2.94,0.73,0.92,0.97,0.89,5.02,0.87,2.39,1.22,5.17,2.32,1.27,2.49,1.9,1.45,2.25,1.63,1.81,1.87
April,,,,,,,,2.25,1.71,2.7,1.3,1.64,2.04,2.01,1.41,2.46,1.02,1.24,2.96,2.99,3.15,2.46,0.22,3.56,0.86,1.71,2.23,1.82,1.28,1.6,4.95,1.44,2.1,3.18,2.18,2.19,1.1,1.69,0.99,0.91,2.55,2.7,3.3,1.3,2.09,2.86,1.1,3.27,0.31,2.07,1.64,1.94,1.64,1.65,3.12,1.85,1.01,2.84,1.21,2.45,2.83,1.33,2.67,2.65,0.77,2,3.02,0.45,0.87,3.29,1.44
May,,,,,,,,1.4,4.28,2.72,1.53,1.03,3.8,3.16,2.16,0.41,2.8,3.1,3.02,1.49,2.64,1.49,2.28,3.18,2.29,1.55,2.78,3.24,3.09,1.15,3.69,2.26,1.53,3.55,6.92,3.29,4.33,1.53,1.36,1.87,0.81,2.63,4.28,1.5,2.25,1.99,0.9,2.47,3.22,1.4,2.57,1.87,3.45,2.35,1.88,4.62,2.14,3.94,2.06,3.09,0.93,3.32,2.43,2.51,2.94,3.7,1.14,1.66,3.15,1.95,2.67
June,,,,,,,,4.63,2.26,2.72,3.1,1.82,1.95,2.24,1.31,1.64,1.58,6.29,2.38,2.87,3.93,2.87,3.71,2.39,1.52,1.28,2.49,1.94,2.03,1.79,3.32,0.26,2.88,0.56,2.55,0.04,1.83,4.48,5.26,1.41,2.02,4.48,0.52,2.46,1.68,3,4.04,1.58,3.28,3.04,0.93,0.53,0.31,2.5,3.04,3.27,3.29,2.39,3.58,0.69,2.16,1.21,2.41,1.65,3.49,3.71,2.23,1.87,4.73,3.23,1.26
July,,,,,,,,1.02,0.51,2.19,1.06,1.72,2.29,2.42,1.4,2.19,0.96,2.49,4.4,4.75,4.91,0.36,4.36,2.57,4.63,4.25,1.54,1.75,5.03,1.72,6.55,1.03,4.39,3.46,4.12,3.1,4.08,3.57,1.56,2.62,4.63,2.38,4.58,1.7,1.59,3.13,3.97,1.98,2.9,6.22,4.52,2.14,3.78,5.56,2.4,2.25,3.72,3.09,3.1,1.99,2.61,1.87,1.51,3.39,4.31,1.08,4.68,4.54,4,3.82,3.98
August,,,,,,,,5.73,4.3,1.54,6.93,2.68,2.85,4.46,5.06,3.57,3.21,3.49,3.7,2.85,5.13,3.79,6.27,1.79,2.06,6.26,3.08,7.65,2.29,4.17,2.27,5.76,4.24,3.24,5.74,3.63,3.68,6.39,3.49,3.86,5.32,6.32,1.15,1.78,3.11,2.72,1.63,2.71,5.39,1.95,1.16,4.44,4.54,3.82,3.2,2.11,5.15,0.43,3.39,2.46,8.04,5.11,2.79,4.09,4.35,1.41,9.12,4.3,3.5,1.22,4.95
September,,,,,,,,4.67,1.15,3.76,0.79,1.01,1.2,5.41,2.69,1.9,1.79,0.89,3.63,3.19,0.66,4.94,1.28,2.18,3.44,0.82,2.76,1.53,8.6,2.58,3.57,1.68,3.48,3.85,4.51,4.49,4.95,5.7,1.39,1.93,2.41,3.76,3.83,0.92,2.91,5.87,3.66,2.54,2.16,0.99,3.11,1.1,2.37,3.56,5.46,1.55,4.38,2.72,2,1.03,5.33,3.15,3.85,4.29,3.27,2.47,2.65,6.16,4.56,0.31,3.51
October,,,,,,,,1.45,3.97,2.98,3.7,3.99,3.5,8.94,1.97,3.41,5.99,4.28,2.7,4.47,3.31,3.26,3.69,2.71,2.5,2.35,5.18,7.38,2.78,2.94,1.53,3.29,0.39,4.5,3.97,4.62,3.35,3.06,3.91,4.51,5.57,2.27,6.48,3.82,6.03,4.79,2.23,2.62,6.14,2.34,4.21,3.81,4.14,4.28,4.65,4.36,0.77,0.89,2.36,4.04,2.64,0.94,5.24,1.98,6.2,2.45,2.5,3.29,3.53,3.36,3.98
