MOLD-BRYN-ALYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ211664,Long,-3.1822782,Lat,53.188815,Elevation,483,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,3.11,2.83,3.6,2.51,2.21,3.74,2.61,2.15,3.27,0.97,5.62,2.97,1.53,0.7,-999,2.23,3.03,-999,1.98,3.43,2.4,,
February,,,,,,,,1.75,2.03,2.85,2.26,1.98,3.18,1.37,2.08,2.08,2.38,3.03,1.01,2.5,2.3,-999,2.51,,-999,2.97,1.58,0.27,,
March,,,,,,,,2.21,2.6,1.72,2.57,1.73,3.28,2.12,1.34,0.79,2.72,3.92,1.44,1.86,1.58,-999,2.35,,0.36,2,1.97,3.43,,
April,,,,,,,1.76,3.17,1.74,1.75,1.45,2.25,3.44,0.92,1.25,1.11,2.54,2.69,1.63,3.11,2.14,0.54,5.12,0.75,1.83,2.26,1.78,0.87,,
May,,,,,,,1.6,1.87,1.06,5.77,0.8,1.37,2.83,1.75,2.3,1.88,0.76,3.03,4.83,2.93,2.14,2.13,1.15,0.77,1.25,2.51,6.07,2.15,,
June,,,,,,,4.2,1.07,0.09,1.28,1.49,3.29,5.94,1.46,0.48,2.1,1.5,1.08,2.24,5.49,3.81,3.32,4.47,2.61,1.4,1.81,1.2,1.26,,
July,,,,,,,2.95,5.16,0.36,0.45,0.54,4.11,6.17,1.64,2.73,5.25,2.46,3.64,0.81,4.64,6.66,1.95,3.45,2.98,4.38,1.07,3.35,2.18,,
August,,,,,,,4.38,0.72,3.44,2.22,2.58,1.07,3.61,2.43,3.47,3.08,3.64,5.94,6.29,8.06,2.31,4.44,3.67,2.42,-999,1.57,1.44,2.29,,
September,,,,,,,5.84,3.27,2.85,5.29,1.83,5.59,6.28,4.65,2.89,4.28,6.36,3.03,3.76,2.54,2.53,1.85,1.35,5.82,-999,3.65,4.12,2.9,,
October,,,,,,,1.77,4.71,3.12,4.2,5.66,4.57,9.84,2.49,3.69,4.02,3.14,3.33,3.93,1.8,7.63,4.25,-999,4.12,1.75,6.65,3.82,4.24,,
November,,,,,,,3.51,1.36,3.19,3.81,3.47,2.11,4.34,2.43,4.09,4.96,5.28,4.98,4.11,0.38,3.17,3.18,-999,3.37,3.07,2.76,-999,,,
December,,,,,,,2.06,3.33,7.65,3.1,3.72,2.33,4.16,1.03,3.61,1.24,5.92,2.75,2.46,2.1,5.53,3,4.7,1.83,2.89,1.23,-999,,,
Total,,,,,,,,31.73,30.96,36.04,28.88,32.61,56.81,24.9,30.08,34.06,37.67,43.04,35.48,36.94,40.5,32.19,39.74,,29.16,30.46,34.36,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Bryn Alyn. Stated altitude could be 20 ft. too high or gauge in 100m S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884 Jan/Feb combined reading = 8.2 and  Aug/Sep = 5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
