SHERWOOD-PUMPING-STATION,,,,,,,,,,
Grid ref,SS996942,Long,-3.4521839,Lat,51.637614,Elevation,446,ft,,
Station no,4077/3,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,17.63,6.25,10.58,1.58,8.82,11.37,12.38,,
February,,0.06,6.23,0.93,10.71,2.72,11.63,3.85,,
March,,4.6,6.81,6.48,1.71,3.93,3.5,0.95,,
April,,7.96,2.72,3.52,8.51,3.78,5.13,0.29,,
May,,7.17,1.68,3.44,1.76,1.86,1.36,6.7,,
June,7.33,3.11,2.51,2.84,6.74,6.94,2.08,4.25,,
July,7.34,5.65,6.71,1.91,0.98,11.78,4.09,6.49,,
August,6.02,1.08,2.38,7.31,2.7,1.65,1.27,6.52,,
September,2.94,10.66,2.36,6.06,11.3,5.34,2.99,3.42,,
October,2.38,15.61,9.29,7.9,10.4,3.34,2.82,14.3,,
November,15.95,7.3,1.94,3.18,10.31,9.73,3.91,13.31,,
December,5.47,5.7,2.45,19.05,5.51,10.41,5.07,6.97,,
Total,,86.53,51.33,73.2,72.21,70.3,55.22,79.43,,
