"CAMBRIDGE FULBOURNE PUMPING STATION",,,,,,,,,,,,
Grid ref,TL512565,Long,0.210291,Lat,52.186024,,,,,,,
Station no,1198,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.47,0.57,0.56,1.85,1.60,1.29,2.73,0.99,0.65,0.68,,
February,3.31,0.81,1.18,0.51,2.63,1.21,1.86,1.29,1.06,0.27,,
March,0.45,2.24,0.98,2.16,1.51,2.33,1.67,0.92,1.64,2.69,,
April,1.05,2.52,0.92,1.67,0.79,1.83,1.00,2.92,2.52,1.61,,
May,1.66,1.00,3.16,3.97,1.57,1.51,1.34,2.90,1.32,1.41,,
June,2.71,2.08,3.84,3.78,1.31,3.28,3.48,2.94,1.02,3.16,,
July,1.29,3.01,0.99,4.86,2.74,1.45,2.53,1.83,2.90,2.67,,
August,2.55,2.31,3.51,3.11,1.93,2.32,0.88,2.14,1.63,2.06,,
September,0.65,1.70,0.55,2.24,1.47,1.64,0.87,0.61,1.67,2.35,,
October,2.26,2.52,1.36,5.29,1.18,1.55,3.31,2.14,1.19,3.39,,
November,1.86,1.20,1.13,2.22,1.32,1.65,3.50,2.40,0.82,0.42,,
December,2.32,2.30,1.39,1.20,1.70,0.69,2.50,2.60,1.70,2.86,,
Total,22.58,22.26,19.57,32.86,19.75,20.75,25.67,23.68,18.12,23.57,,
Calc annual,22.58,22.26,19.57,32.86,19.75,20.75,25.67,23.68,18.12,23.57,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
