UPLEATHAM,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ631192,Long,-1.026,Lat,54.564,Elevation,330,ft,,,,,,,,,,,,,,,
Station no,RR1400,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873
January,1.75,2.20,,,,,,,,,,,3.20,0.70,1.45,1.45,3.00,1.45,1.25,1.35,2.00,2.50,0.65
February,0.85,0.80,,,,,,,,,,,0.00,3.00,1.00,1.75,0.15,1.10,1.45,1.90,1.35,2.30,1.45
March,2.60,0.05,,,,,,,,,,,1.70,1.85,1.55,2.80,1.35,1.45,1.60,2.00,0.60,2.55,1.65
April,2.10,0.15,,,,,,,,,,,0.15,1.70,1.20,2.10,2.00,2.35,1.00,0.60,2.20,2.70,1.25
May,1.15,1.10,,,,,,,,,,,1.00,1.10,3.55,0.75,1.10,0.50,2.75,0.75,1.70,2.20,2.00
June,2.10,2.10,,,,,,,,,,,3.00,1.70,0.50,1.70,1.70,0.50,1.35,3.90,2.25,1.90,0.85
July,1.35,1.20,,,,,,,,,,,1.10,0.25,1.00,4.80,2.00,1.00,0.45,0.65,2.10,2.70,1.50
August,0.85,2.25,,,,,,,,,,,2.50,1.00,3.85,4.25,3.10,3.75,1.50,2.10,0.40,2.25,1.15
September,3.30,5.30,,,,,,,,,,,1.90,1.45,0.55,2.45,1.75,4.60,2.65,0.70,5.70,4.95,1.55
October,1.70,2.75,,,,,,,,,,,3.40,6.35,5.45,2.15,0.55,2.20,3.70,4.30,2.00,3.90,2.50
November,2.15,3.70,,,,,,,,,,,2.30,2.20,2.30,1.80,0.20,1.40,2.80,4.40,2.35,4.65,2.00
December,0.75,1.50,,,,,,,,,,,1.80,2.00,1.45,2.00,1.10,3.85,3.55,5.65,1.65,3.65,0.75
Total,20.65,23.10,,,,,,,,,,,22.05,23.30,23.85,28.00,18.00,24.15,24.05,28.30,24.30,36.25,17.30
,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1850-1859_F_pt1/223,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_05_pt1/195,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_08_pt3/080,,,,,,,,,,,,,,,,,,,,,,,
