"GODMERSHAM P.S.",,,,,,,,,,,,
Grid ref,TR073516,Long,0.967528,Lat,51.225934,,,,,,,
Station no,291/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.50,,
February,,,,,,,,,,2.40,,
March,,,,,,,,,,1.72,,
April,,,,,,,,,,0.71,,
May,,,,,,,,,,1.87,,
June,,,,,,,,,,1.26,,
July,,,,,,,,,,-999.00,,
August,,,,,,,,,,4.76,,
September,,,,,,,,,,2.73,,
October,,,,,,,,,,7.63,,
November,,,,,,,,,,6.79,,
December,,,,,,,,,,4.63,,
Total,,,,,,,,,,41.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.10,,
