GODMERSHAM-PUMPING-STATION,,,,,,,,,,
Grid ref,TR073516,Long,0.967528,Lat,51.225934,Elevation,87,ft,,
Station no,291/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.5
February,,,,,,,,,,2.4
March,,,,,,,,,,1.72
April,,,,,,,,,,0.71
May,,,,,,,,,,1.87
June,,,,,,,,,,1.26
July,,,,,,,,,,3.1
August,,,,,,,,,,4.76
September,,,,,,,,,,2.73
October,,,,,,,,,,7.63
November,,,,,,,,,,6.79
December,,,,,,,,,,4.63
Total,,,,,,,,,,41.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Elevation from map,,,,,,,,,,
1960 Jul IDR,,,,,,,,,,
