HAGWORTHINGHAM - MANOR HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF347690,Long,0.015,Lat,53.201,Elevation,200,ft,,,,,,,,,,,,,,,,,,
Station no,2564,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.48,3.53,2.65,4.12,1.62,2.42,2.11,5.32,2.39,2.66,2.05,1.98,4.11,0.98,1.09,2.97,1.93,0.98,1.47,1.79,4.58,1.99,2.03,3.20,4.95
February,2.10,2.41,2.28,0.75,0.57,2.51,2.76,1.17,0.70,2.12,2.16,2.11,1.85,0.89,0.64,3.87,3.11,0.57,1.78,2.06,3.12,1.34,2.24,3.22,0.19,3.03
March,0.50,1.02,2.66,0.17,2.28,1.68,2.58,0.99,0.54,0.41,0.77,1.22,3.62,0.36,0.66,0.58,3.16,3.38,0.90,1.81,2.30,0.91,1.78,2.02,1.99,1.18
April,3.08,1.90,3.14,0.21,2.49,1.05,0.64,0.79,1.15,2.55,1.78,1.57,1.71,1.30,1.86,2.96,2.66,1.21,3.41,0.38,0.92,1.14,0.41,0.66,1.81,1.09
May,0.30,0.98,4.18,2.39,1.06,1.25,1.73,3.16,2.19,1.95,1.58,1.49,0.70,2.49,1.50,1.89,3.65,1.36,3.16,3.04,3.60,0.72,1.77,2.87,0.48,0.72
June,1.99,3.27,0.90,1.07,2.97,0.73,0.29,1.09,2.21,1.67,2.87,2.94,3.14,3.99,0.66,2.64,0.76,1.89,3.87,2.06,2.94,2.86,2.34,3.37,0.97,0.27
July,0.45,4.88,1.94,3.60,3.42,5.90,5.35,2.66,1.18,2.27,1.20,2.91,1.24,1.52,2.07,2.40,1.01,0.50,1.45,2.12,0.40,3.71,2.87,4.87,2.51,3.50
August,3.08,1.24,1.37,3.93,1.10,1.10,3.46,1.39,2.90,2.60,2.83,3.35,0.00,3.54,1.57,3.54,4.71,1.56,2.81,4.20,1.12,4.51,4.08,1.81,1.27,3.94
September,3.63,1.55,1.16,3.05,1.71,1.13,0.68,2.48,2.28,4.47,2.58,3.46,1.16,2.43,0.93,4.25,1.24,3.04,0.85,1.97,0.93,1.27,3.99,2.10,0.18,
October,3.17,2.59,1.58,3.22,4.55,3.65,2.89,1.99,1.26,2.85,2.57,1.93,0.39,1.69,3.83,1.03,1.26,2.34,2.31,3.13,1.80,1.07,1.64,1.85,1.61,
November,4.15,2.49,1.97,2.27,4.60,4.30,2.98,2.21,2.73,4.65,0.80,4.31,1.25,0.73,2.78,4.58,4.04,2.74,1.61,3.80,1.41,1.00,2.39,0.89,2.05,
December,2.80,1.40,2.41,4.45,2.38,1.99,0.38,1.87,0.73,1.08,2.63,2.39,2.62,3.23,1.84,2.15,1.30,1.68,0.90,2.23,1.76,1.07,2.35,3.34,3.83,
Total,,27.21,27.12,27.76,31.25,26.91,26.16,21.91,23.19,29.01,24.43,29.73,19.66,26.28,19.32,30.98,29.87,22.20,24.03,28.27,22.09,24.18,27.85,29.03,20.09,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/155,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/242,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/238,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge moved to the Manor House from Glebe House in February 1935.,,,,,,,,,,,,,,,,,,,,,,,,,,
# The gauge moved to Furze Farm in September 1960.,,,,,,,,,,,,,,,,,,,,,,,,,,
