SKYE (PRABOST),,,,,,,,,,
Grid ref,NG418502,Long,-6.307808,Lat,57.468329,Elevation,220,ft,,
Station no,5760/15,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,9.25,10.89,5.58,4.63
February,,,,,,,4.71,4.85,4.9,5.04
March,,,,,,,6.81,3.74,4.09,1.54
April,,,,,,,4.23,2.97,5.86,5.65
May,,,,,,,2.5,7.31,1.16,3.21
June,,,,,,3.41,2.96,1.82,7.24,5.12
July,,,,,,6.67,3.52,2.17,9.23,4.31
August,,,,,,4.74,7.22,4.39,6.18,3.16
September,,,,,,3.86,5.1,6,3.81,7.11
October,,,,,,8.28,12.38,9.02,8.57,1.59
November,,,,,,7.14,4.87,4.17,11.11,8.07
December,,,,,,8.8,9.97,4.67,11.64,10.07
Total,,,,,,,73.52,62,79.37,59.5
,,,,,,,,,,
1956 removal May -999,,,,,,,,,,
Station no,5760/15,,,,,,,,,
Midas,90,,,,,,,,,
Hyd Stn,725921,,,,,,,,,
