"STORNOWAY, LEUBROST SCHOOL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NB 38011 25814,Long,-6.453632,Lat,58.143311,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,5.49,5.29,6.69,11.43,,6.57,7.77,10.96,5.92,6.24,4.55,,5.02,8.83,4.97,3.67,2.82,5.06,6.19,6.05,4.46,5.69,,,,
February,,,,,,4.89,3.38,2.22,5.25,,0.3,6.18,0.71,3.29,2.86,4.42,,3.14,3.97,6.62,2.19,5.12,3.84,5.36,3.18,3.65,5.84,,,,
March,,,,,,3.96,3.31,2.84,3.71,,1.95,1.37,3.09,2.76,3.04,3.84,,1.25,4.29,3.65,1.17,1.43,1.95,3.02,3.56,3.89,2.42,,,,
April,,,,,2.8,3.62,1.63,6.14,2.23,,0.96,3.61,3.39,3.78,4.72,2.57,,2.44,1.04,2.05,2.76,2.31,2.11,3.48,1.69,2.42,,,,,
May,,,,,2.3,3.8,2.69,1.45,1.8,,1.74,2.48,1.15,1.32,2.05,1.72,,2.16,2.31,1.28,1.63,1.35,1.69,2.75,1.89,3.19,0.89,,,,
June,,,,,2.83,0.63,1.37,3.72,2.21,,1.75,3.08,0.8,1.92,1.42,2.9,,1.2,4.73,1.07,1.47,0.97,2.27,3.5,3.96,3.51,4.63,,,,
July,,,,,4.73,2.24,2.42,3.82,3.06,,,2.11,2.45,2.35,3.95,2.62,,2.23,2.59,5.62,5.65,4.05,4.75,2.67,0.59,2.94,,,,,
August,,,,,4.65,2.37,4.11,2.8,2.52,,,1.09,3.19,5.43,4.81,3.88,,4.15,4.59,1.98,3.45,6.07,4.9,5.21,3.77,2,,,,,
September,,,,,4.29,3.46,5.97,5.49,2.82,4.68,2.44,1.85,6.11,0.59,5.61,6.99,4.13,4.15,4.37,2.4,2.72,2.09,5.05,4.46,3.56,4.77,6.67,,,,
October,,,,,4.39,4.51,4.13,7.25,4.64,6.87,8.8,4.41,6.38,4.36,5.62,8.71,3.33,2.26,8.27,3.25,2.53,3.91,6.51,8.63,6.53,2.37,0.92,,,,
November,,,,,3.97,3.6,5.28,5.79,5.4,5.69,5.83,4.22,4.65,2,2.81,3.57,2.57,5.56,8.91,5.98,6.59,6.48,4.05,7.21,4.15,0.98,3.39,,,,
December,,,,,8.15,5.15,4.42,0.86,5.09,7.32,5.43,8.21,4.61,1.59,3.41,3.84,,2.5,4.5,2.99,3.86,5.8,8.55,3.45,5.56,5.81,9.89,,,,
Total,,,,,,43.72,44,49.07,50.16,,,46.38,47.49,35.31,46.54,49.61,,36.06,58.4,41.86,37.69,42.4,50.73,55.93,44.49,39.99,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Est deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 JA +T Deleted est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933 Jul Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 -100 Deleted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,14229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,727840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
