LOCH QUOICH (CRUADHACH),,,,,,,,,,,,
Grid ref,NM932994,Long,-5.410165,Lat,57.039167,,,,,,,
Station no,5708/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,17.00,10.82,13.44,26.70,13.70,8.14,9.22,,
February,,,,8.30,8.47,11.75,9.70,10.34,13.00,7.88,,
March,,,,10.57,3.12,5.90,14.00,7.46,13.48,5.33,,
April,,,,7.06,11.15,9.20,6.40,9.00,8.62,17.96,,
May,,,,6.39,6.82,16.30,6.40,11.10,5.62,5.06,,
June,,,,13.21,10.68,8.50,7.10,2.80,12.04,11.19,,
July,,,,10.66,3.17,11.13,10.40,5.50,18.90,6.72,,
August,,,,15.12,4.96,9.34,15.00,7.62,14.07,8.48,,
September,,,,19.21,19.72,9.38,17.73,7.73,7.00,9.05,,
October,,,,28.27,23.95,16.40,26.65,17.50,18.63,1.72,,
November,,,,19.90,9.20,19.73,9.70,4.00,14.12,13.72,,
December,,,,38.69,23.86,33.17,27.40,9.82,17.70,15.93,,
Total,,,,194.38,135.92,164.24,177.18,106.57,151.32,112.26,,
Calc annual,0.00,0.00,0.00,194.38,135.92,164.24,177.18,106.57,151.32,112.26,,
Difference,NaN,NaN,NaN,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
