LOCH QUOICH (CRUADHACH),,,,,,,,,,
Grid ref,NM932994,Long,-5.410165,Lat,57.039167,Elevation,710,ft,,
Station no,5708/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,17,10.82,,26.7,13.7,8.14,9.22
February,,,,8.3,8.47,,9.7,10.34,13,7.88
March,,,,10.57,3.12,,14,7.46,13.48,5.33
April,,,,7.06,11.15,,6.4,9,8.62,17.96
May,,,,6.39,6.82,16.3,6.4,11.1,5.62,5.06
June,,,,13.21,10.68,8.5,7.1,2.8,12.04,11.19
July,,,,10.66,3.17,,10.4,5.5,18.9,6.72
August,,,,15.12,4.96,,15,7.62,14.07,8.48
September,,,,19.21,19.72,9.38,17.73,7.73,7,9.05
October,,,,28.27,23.95,16.4,26.65,17.5,18.63,1.72
November,,,,19.9,9.2,,9.7,4,14.12,13.72
December,,,,38.69,23.86,,27.4,9.82,17.7,15.93
Total,,,,194.38,135.92,,177.18,106.57,151.32,112.26
,,,,,,,,,,
BR 1954 P,,,,,,,,,,
BR 1955 P,,,,,,,,,,
BR 1956 NP too much Est Deleted,,,,,,,,,,
BR  1957 P,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
The name Loch Quoich was correct in 1950s but with dam is now called Loch Cuiach,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Station no,5708/5,,,,,,,,,
Midas,14615,,,,,,,,,
HydStn,798286,,,,,,,,,
