"MANCHESTER URMSTON SEWAGE WORKS",,,,,,,,,,,,
Grid ref,SJ759965,Long,-2.364477,Lat,53.464686,,,,,,,
Station no,2830,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.22,2.12,2.95,2.47,2.33,1.70,3.76,1.25,2.16,1.66,,
February,2.87,1.19,1.32,2.67,3.38,1.40,2.92,1.44,2.68,1.04,,
March,0.71,2.28,1.17,3.95,1.41,3.04,2.50,2.34,2.39,2.61,,
April,1.95,2.47,2.37,1.08,2.03,2.35,1.68,1.14,2.19,2.72,,
May,1.90,0.83,3.27,3.97,2.18,0.72,2.45,3.84,2.34,1.57,,
June,2.87,2.08,1.35,2.06,1.44,1.95,1.45,5.24,1.46,2.36,,
July,2.27,2.78,2.04,3.78,1.35,2.14,1.42,3.80,4.16,4.47,,
August,5.03,1.47,3.21,3.66,3.91,4.00,2.75,3.20,2.84,3.48,,
September,1.69,0.78,1.25,4.75,0.93,1.85,1.59,0.75,2.65,2.18,,
October,5.17,3.14,3.71,6.55,1.60,2.96,4.62,3.03,1.63,4.36,,
November,2.04,2.96,2.13,3.50,1.94,3.23,2.12,2.27,2.67,1.02,,
December,3.99,3.95,2.56,0.98,2.60,0.53,4.00,2.36,2.54,6.36,,
Total,34.71,26.05,27.33,39.42,25.10,25.87,31.26,30.66,29.71,33.83,,
Calc annual,34.71,26.05,27.33,39.42,25.10,25.87,31.26,30.66,29.71,33.83,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
