SUTTON WW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ263642,Long,-0.187264,Lat,51.362834,Elevation,166,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,2.77,3.49,0.87,0.66,2.28,3.65,,,0.84,1.4,0.86,2.16,1.06,2.87,3.17,0.37,4.47,0.92,0.96,2.96,2.99,2.34,1.67,2.72,1.37,2.43,1.67,2.83,2.28,3.63,1.18,3.38,1.5,2.51,1.69,1.84,1.07,4.64,5.08,2.35,4.55,2.24,2.02,2.49,5.3,1.43,1.75,1.47,1.61,3.15,0.93,0.86,2.86,2.09,0.95,1.28,2.6,3.85,1.61,1.92,2.01,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.38,4.34,1.42,0.76,1.49,3.19,,,1.32,0.86,0.57,3.45,1.05,1.57,0.78,3.29,4.27,4.24,0.86,0.95,2.01,0.6,0.18,2,3.69,0.62,4.08,2.28,4.18,1.48,0.55,0.66,1.67,0.3,2.94,0.34,3.09,2.17,4.16,0.63,1.43,1.48,2.13,0.57,1.97,0.71,1.11,1.82,1.29,1.29,0.99,4.08,7.41,0.88,1.19,2.13,1.64,0.28,2.99,2.04,0.05,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.67,0.88,2.38,1.66,2.34,1.43,,,0.61,2.78,3.1,1.15,1.82,3.2,2.85,4.15,0.69,4.47,1.33,0.83,3.18,1.89,1.47,1.7,1.99,0.7,0.97,0.29,2.5,2.2,0.11,1.85,0.23,1.47,2.7,2.49,0.25,1.13,3.73,0.42,1.11,3.13,3.22,2.07,0.29,0.01,1.04,1.33,4.7,0.76,0.81,0.94,3.07,2.46,0.4,1.86,1.17,0.84,0.72,1.09,2.32,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.19,0.99,1.95,0.74,1.7,1.33,,,3.31,2.48,2.27,1.64,1.95,0.09,2.62,0.77,1.33,1.38,2.12,3.59,2.63,2.55,1.01,2.26,1.74,3.69,2.17,3.31,1.74,1.56,1.03,1.43,4.07,2.15,0.62,2.78,2.82,1.29,2.48,0.13,2.38,1.83,1.49,1.3,0.95,1.34,1.14,2.43,1.68,1.35,1.76,2.93,2.48,1.23,2.55,0.35,0.23,1.22,0.19,1.31,2.13,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.53,1.27,0.82,2.35,2.49,2.41,,,1.67,1.96,1.16,1.81,2.54,1.25,1.22,1.23,3.2,2.64,1.79,1.98,0.13,0.46,2.08,0.91,2.23,2.81,1.69,1.43,1.19,2.04,1.46,3.63,2.89,4.1,3.37,0.47,1.25,0.51,2.63,1.9,1.56,1.07,1.54,3.53,2.49,0.49,2.56,3.58,1.42,1.76,2.42,1.56,2.03,2.09,1.53,3.3,3.79,0.28,1.43,2.53,1.24,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.82,3.1,1.59,4.12,6.67,0.92,,,1.75,2.21,3.64,2.21,2.24,2.99,0.2,1.48,0.53,2.35,1.85,0.89,1.24,1.53,0.2,1.39,0.35,2.94,0.12,3.8,3.34,2.61,0.95,0.81,1.37,1.08,1.28,0.71,4.12,3.19,2.06,0.48,1.09,0.27,2.14,1.18,1.1,2.14,1.47,2.54,2.68,2.17,0.7,1.4,0.98,1.82,1.48,3.16,1.56,2.39,1.34,5.03,0.81,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,0.52,1.43,2.67,1.23,4.28,1.66,,,0.73,2.82,2.83,2.03,0.26,1.6,2.28,1.91,3.44,1.34,4.89,5.98,2.04,3.67,0.16,3.31,2.96,3.33,3.33,1.57,2.68,2.34,1.38,1.94,2.87,2.74,1.67,2.17,1.27,3.66,0.73,1.33,2.23,2.25,3.64,2.36,1.27,2.49,3.18,1.58,1.55,1.03,0.66,3.34,2.19,0.73,3.47,2.69,0.19,5.25,2.55,1.75,1.39,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,0.72,2.66,1.87,3.6,4.53,1.77,,,2.31,2.98,1.81,2.74,0.62,5.75,1.73,1.54,1.77,3.58,4.33,0.96,2.66,1.69,0.58,2.08,2.23,3.25,2.12,1.29,3.42,2.79,1.96,2.75,4.5,0.99,0.66,1.84,2.64,0.88,3.23,1.89,3.98,0.09,4.08,2.84,1.61,2.35,1.86,4.67,0.13,3.39,1.16,1.69,3.13,2.57,1.38,2.42,1.5,3.29,2.97,2.79,0.91,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.71,0.76,1.48,2.24,3.06,1.23,,,0.51,1.34,2.78,1.09,1.26,3.15,1.75,0.99,2.01,1.53,2.34,5.02,1.19,2.83,1.37,1.71,1.36,3.2,2.45,1.58,4.86,0.91,0.12,3.28,2.22,1.65,2.56,1.26,2.94,2.6,2.06,2.14,1.78,1.21,0.41,1.49,1.62,2.56,1.83,2.76,1.33,1.15,0.44,2.25,2.86,3.45,2.66,2.21,1.58,2.02,2.64,4.47,0.06,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,2.32,1.89,2.58,1.48,5.97,1.88,,,3.63,2.23,4.01,3.17,3.23,2.4,3.67,1.26,2.43,3.81,3.18,2.18,0.71,0.79,0.53,0.98,5.23,3.39,2.52,2.8,1.16,4.88,3.37,1.04,0.8,5.39,1.78,1.52,3.11,2.29,3.12,2.46,5.56,2.62,0.69,4.25,2.85,3.31,2.32,0.87,0.4,1.67,5.44,0.37,0.89,2.82,3.86,1.99,3.13,1.24,1.52,3.13,2.11,5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
