LOCH MAREE (LETTEREWE),,,,,,,,,,,,,,,,,,,,
Grid ref,NG953712,Long,-5.435328,Lat,57.683922,Elevation,32,ft,,,,,,,,,,,,
Station no,5784/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,8.64,9.16,7.85,4.04,6.51,,5.18,1,2.67,3.39,3.7,11.22,4.72,5.47,,,,
February,,,7.01,4.81,9.47,2.9,5.21,,7.23,2.25,7.99,,9.15,5.61,5.7,6.57,,,,
March,,,1.67,4.19,4.59,2.18,4.09,13.47,5.4,4.02,2.14,,5.06,6.14,4.8,1.71,,,,
April,,,6,7.21,3.05,2.86,1.09,2.73,4.16,4.12,3.25,,6.55,2.58,4.29,5.06,,,,
May,,,0.93,4.22,2.08,1.75,1.91,4.18,1.16,1.35,1.9,,4.66,4.52,3.17,0.11,,,,
June,,,3.54,1.94,3.22,0.97,3.02,5.65,1.35,2.11,1.17,,2.73,6.46,6.13,4.43,,,,
July,,2.93,4.3,5.67,3.32,5.09,2.35,5.42,7.8,3.87,3.64,,3.37,1.95,4.71,9.43,,,,
August,,4,6.7,5.83,4.35,3.61,1.77,5.12,1.69,6.32,8.61,,6.35,4.09,2.89,,,,,
September,,8.13,0.95,5.79,7.79,4.19,3.97,4.87,2.56,8.82,2.01,6.83,5.54,5.95,6.34,,,,,
October,,8.14,8.35,9.35,12.11,7.55,2.38,15.11,0.95,3.01,5.88,11.61,8.72,7.83,4.78,,,,,
November,,8.5,6.3,4.3,3.66,5.76,2.03,10.42,8.57,22.84,6.55,4.42,8.06,6.64,1.17,,,,,
December,,5.91,0.98,4.04,5.26,12.85,3.8,5.43,3.16,4.83,6.83,8.41,5.9,7.8,4.99,,,,,
Total,,,55.37,66.51,66.75,53.75,38.13,,49.21,64.54,52.64,,69.79,70.79,53.69,,,,,
,,,,,,,,,,,,,,,,,,,,
1938 JF+T deleted Estd,,,,,,,,,,,,,,,,,,,,
