DARTMOOR-HESSARY-TOR,,,,,,,,,,,,,,,,,,,,
Grid ref,SX581740,Long,-4.0031,Lat,50.5491,Elevation,1596,ft,,,,,,,,,,,,
Station no,1658,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,10.67,12.26,7.44,8.08,12.12,,9.77,9.15,,,,,,19.75,,,,
February,,,2.82,3.23,6.17,6.3,9.37,6.5,7.42,12.42,,,,,,4.85,,,,
March,,,10.97,4.22,4.25,3.95,8.83,7.51,6.91,3.85,,,,,,4.3,,,,
April,,,8.14,3.57,1.55,0.75,4.05,8.4,7.22,,,,,,,3.03,,,,
May,,,5.58,4.48,2.01,5.35,3.71,5.75,3.7,8.12,,,,,,5.28,,,,
June,,,8.52,8.23,4.37,1.68,5.78,2.15,2.04,0.68,,,,,,8.25,,,,
July,,,5.31,1.84,2.86,7.15,2.4,7.73,1.05,3.4,,,,,,9.07,,,,
August,,,5.34,7.43,2.23,8.7,10.25,4.46,7.38,1.85,,,,,,5.37,,,,
September,,,6.58,9.69,10.15,0.77,16.71,4.23,7.9,12.2,,,,,,6.12,,,,
October,,,15.5,12.25,3.78,11.75,3.78,11.75,8.75,5.46,,,,,,,,,,
November,,,2.95,7.03,8.5,11.7,5.63,2.21,6.72,8.2,,,,,,,,,,
December,,6.68,9.94,10.15,6.05,9,11.55,6.28,15.44,,,,,,,,,,,
Total,,,92.32,84.38,59.36,75.18,94.18,,84.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge read monthly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1864 Mr Sweeny one of our schoolmasters frozen to death in a snow drift about 1¾ miles from the prison on the Tavistock Road Found about 8am on 1st Jan 1865,,,,,,,,,,,,,,,,,,,,
Location of gauge unknown. Given the above note suggests the observer might have been working and living at or near the prison. This NGR is near a path west of the prison and about 300 yrds SE of Hessary Tor peak at the given elevation,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1867 Jan gauge broken,,,,,,,,,,,,,,,,,,,,
1869 Apr Gauge displaced,,,,,,,,,,,,,,,,,,,,
1869 Dec Gauge burst,,,,,,,,,,,,,,,,,,,,
