DARTMOOR-HESSARY-TOR-(NEW-LOCATION),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX585735,Long,-3.9982,Lat,50.5447,Elevation,1401,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,8.7,8.8,9.7,9.3,9.85,3.15,10.6,7.2,9.2,5.4,7.1,1.85,8.85,10.7,11.5,9.45,4.1,5.6,9.6,12,7.97,3.92,8.91,7.61,12.46,3.96,3.29,8.4,7.27,1.82,3.31,7.47,7.13,8.22,8.1,10.96,7.28
February,,,,,2.75,7.45,5.15,5.5,4.5,2.2,2.6,5.35,0,5.15,0.35,7.95,5.4,12.6,3.2,4.75,7.6,7.54,1.14,4.41,2.58,7.28,6.65,4.47,3.34,3.47,10.36,7.51,1.71,2.89,6.86,6.1,0.43,9.31,7.73,0.58,7.3
March,,,,,2.85,1.46,1.85,7.6,5.6,0.95,3.3,2.45,4.15,6.55,4.2,1.15,6.5,6.2,1.5,3,5.9,6.25,6.5,2.03,0.33,2.97,4.38,13.91,3.9,3.32,5,7.72,7.64,1.65,6.2,2.63,3.19,8.41,2.43,8.34,4.42
April,,,,,5.35,4.58,3.2,3.65,2.44,0.95,5.3,4.4,4.9,3.75,4.6,7.45,3.15,5.35,0.1,4.9,4.85,1.6,3.8,2.38,3.64,2.14,2.92,5.55,3.54,4.7,4.82,3.96,5.91,4.2,1.18,3.22,1.81,0.48,1.92,7.46,5.69
May,,,,,7.06,7,3.6,1.25,1.25,5.35,3.7,3.85,5.85,3,2.55,2.7,0.7,4.05,5.6,1.4,2.65,4.3,9.55,6.45,1.3,5.62,5.53,3.92,4.46,5.34,3.69,3.59,3.68,5.73,6.08,7.01,1.51,3.94,6.38,1.84,3.12
June,,,,,4.2,0.02,4.85,4.65,3.9,3.3,2.55,6.5,4.35,3.5,3.3,6.55,2.55,2.55,4.35,6.8,1.05,3.52,0.65,3.25,5.84,7.28,6.99,4.56,4.21,1.1,3.16,2.22,3.32,4.65,6.99,4.11,4.07,2.61,5.63,2.3,3.56
July,,,,,6.32,6.35,3.3,7.9,3.4,2.8,4.35,6.65,5.6,4.7,0.8,1.65,14.05,5.05,6.05,13.45,5.4,2.9,5.5,4.75,6.36,4.72,3.9,4.84,3.02,3.58,7.69,3.55,2.28,6.64,7.69,1.4,6.25,6.84,6.42,3.52,8.02
August,,,,,11.4,7.2,4.6,6.7,3.1,5.5,6.7,5.35,2.1,4.3,6.55,3.35,1.45,1.35,8.15,4.7,0.6,9,7,5.83,4.64,4.78,7,1,5.15,2.96,10.82,10.97,7.64,4.6,5.67,0.66,6.3,6,10.67,2.77,5.2
September,,,,,8.25,6.6,2.45,9.8,1.8,1.15,7.3,3.95,9.1,2,6.1,8.05,4.45,5.1,3.75,0.8,3.75,0.77,6.1,5.54,4.58,4.57,12.17,3.82,5.14,5.5,11.08,7.48,5.07,6.15,7.69,4.23,11.13,8.27,9.32,0.49,10.3
October,,,,,11.4,9.1,4.2,6.05,10.2,8.9,8.75,2.1,13,6,6.95,9.9,3.5,4.15,11.5,5.95,6.9,4.19,5.43,6.5,8.31,7.21,3.81,2.46,6.52,12.08,2.84,2.04,8.36,5.89,8.11,3.95,3.63,6.04,7.9,7.89,13.37
