"PRINCETOWN NORTH HESSARY TOR",,,,,,,,,,,,
Grid ref,SX579742,Long,-4.007144,Lat,50.550245,,,,,,,
Station no,1658,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,8.18,6.54,3.42,6.35,9.30,2.80,10.35,2.65,3.50,3.40,,
February,8.25,2.11,2.25,4.70,7.45,2.55,2.35,2.72,3.85,0.75,,
March,2.65,,4.70,6.20,2.30,7.95,2.55,2.44,4.98,7.70,,
April,3.08,5.42,2.90,3.15,4.90,5.10,1.70,7.15,3.15,4.17,,
May,3.35,2.33,3.05,1.70,4.72,0.85,5.31,5.50,3.45,2.65,,
June,5.58,2.82,4.60,1.70,2.00,2.80,1.90,5.20,1.32,3.35,,
July,2.72,,4.20,5.75,7.00,1.20,2.30,3.46,5.20,6.13,,
August,3.91,0.70,5.75,5.40,4.15,5.70,5.23,4.40,5.85,4.75,,
September,2.87,5.45,2.90,5.60,3.75,2.60,1.38,1.79,3.05,2.65,,
October,4.70,2.60,5.05,13.30,3.80,3.40,9.52,10.15,2.61,13.10,,
November,5.85,1.32,7.55,4.33,3.80,7.50,5.12,5.65,3.24,2.32,,
December,9.52,10.15,5.10,7.72,6.40,2.75,4.78,7.45,6.05,8.50,,
Total,60.66,49.31,51.47,65.90,59.57,45.20,52.49,58.56,46.25,59.47,,
Calc annual,60.66,39.44,51.47,65.90,59.57,45.20,52.49,58.56,46.25,59.47,,
Difference,0.00,9.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
