DARTMOOR-HESSARY-TOR-(NO-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX583736,Long,-4.001,Lat,50.5455,Elevation,1502,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,3.2,,,,9.93,3.1,4.2,3.3,6.9,2.85,6.2,10.15,3.45,5.89,5.85,3,7.3,9.75,10.45,10.05,7.75,4.95,,,,,,,
February,,,0.9,,,,3.15,3.46,4.2,0.95,7.75,4.92,6.7,3.24,10.7,11.5,8.7,1.95,5.95,6,2.15,0.45,5.7,11.95,,,,,,,
March,,,4.3,,,,2.85,2.55,5.2,7.55,1.48,4,8.9,7.05,9,1.85,4.1,3.8,2.8,9.5,6.1,5.25,5.2,3.1,,,,,,,
April,,,2.5,,,,1.85,7.32,3.5,4,4.55,3.95,0.65,7.8,2.68,2.4,3.3,2.4,2.25,4.1,7.1,1.55,5.3,5.1,,,,,,,
May,,,3,,,,4.9,5.15,3.3,2.5,3.75,1.5,2.55,4.4,3.15,3.47,2.55,2.6,2.05,2.05,2.95,3.2,2.15,4.7,,,,,,,
June,,,3.7,,,,1.9,5.55,1.25,3.46,2.38,3.9,7.6,2.35,2.45,3.25,4.45,3.7,3.05,1.4,3.25,0.35,1.75,1.05,,,,,,,
July,,,2.15,,,,2.33,3.3,4.7,5.85,5.27,0.86,3.55,0.75,6.9,7.2,2.35,4.1,4.45,,8.5,,7.3,2.6,,,,,,,
August,,,2.85,,,,5.18,4.2,5.55,3.16,8.15,4.35,14.65,2.7,,2.2,6.5,8.69,4.6,4.7,2.7,,6.33,4.4,,,,,,,
September,,,0.9,,,,1.25,1.6,2.95,2.75,0.36,3.18,1.75,5.02,3.7,1.85,4.4,4.75,10.64,,3.95,1.5,3.7,4.95,,,,,,,
October,,,3.9,,,,9.35,9,2.1,10.75,8.9,4.95,7.45,5.15,,6.13,10.1,9.1,4.36,,5.85,2.05,1.65,10.65,,,,,,,
November,,,4.15,,,,4.82,5.15,4.07,2.45,6.65,8.5,5.5,8.85,7.47,4.3,9.94,4.15,5.92,,4.1,5.3,3.15,5.1,,,,,,,
December,,,1.85,,,,5.2,7.9,6.15,8.9,12,14.8,10.95,5.2,12.85,14.9,5.22,1.95,12.35,11.25,6.7,4.55,9.65,8.7,,,,,,,
Total,35.67,,33.4,41.52,54.43,44.36,52.71,58.28,47.17,55.62,68.14,57.76,76.45,62.66,,64.94,67.46,50.19,65.72,,63.8,,59.63,67.25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914 Aug Oct gauge tampered with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 July estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Sept Oct Nov gauge tampered with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 July Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Jan includes Dec 31st 1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Aug gauge tampered with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Badly over exposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 gauge moved to site near Princetown prison - 100 ft lower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
