DUBLIN (ROYAL COLL. SURGEONS),,,,,,,,,,,,,,,,,,,,
Grid ref,IO157334,Long,-6.26197,Lat,53.33896,Elevation,66,ft,,,,,,,,,,,,
Station no,RR1715,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,,2.48,3.26,2.43,1.8,1.79,1.48,,,,,
February,,,,,,,,,,1.42,1.45,1.12,2.8,1.69,2.34,,,,,
March,,,,,,,,,,2.55,0.11,2.37,2.38,1.57,2.24,,,,,
April,,,,,,,,,,1.8,0.7,1.08,,2.76,0.84,,,,,
May,,,,,,,,,,0.74,3.25,1.73,2.97,3.34,0.22,,,,,
June,,,,,,,,,,2.33,1.62,1.67,1.8,2.65,1.57,,,,,
July,,,,,,,,,,5.98,1.83,2.35,3.02,1.2,1.84,,,,,
August,,,,,,,,,,2.92,3.22,2.69,1.11,1.93,3.73,,,,,
September,,,,,,,,,,4.47,2.03,,3.07,0.64,2.02,,,,,
October,,,,,,,,,,3.68,2.08,,2.44,3.35,2.66,,,,,
November,,,,,,,,,,3.93,4.02,3.39,5.69,2.6,4.89,,,,,
December,,,,,,,,,,2.44,3.31,3.23,0.76,0.3,2.54,,,,,
Total,,,,,,,,,,34.74,,,,23.82,26.37,,,,,
