BILLERICAY-BURGHSTEAD-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ6726994323,Long,0.41497229,Lat,51.622869,Elevation,310,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,0.61,2.09,1.49,0.46,1.59,2.18,1.56,0.92,2.26,0.76,2.31,2.55,0.53,0.73,1.99,,,,,,
February,,,,,,,,,1.29,1.97,1.08,0.04,1.71,2.62,1.63,0.23,0.53,2.42,1.09,1.64,3.3,0.98,1.23,0.83,,,,,,
March,,,,,,,,,2.85,1.38,1.92,1.52,1.12,0.34,0.72,1.33,2.52,3.1,1.42,0.66,0.87,1.71,1.16,1.69,,,,,,
April,,,,,,,,,1.34,2.01,1.57,0.68,1.43,0.08,2.03,0.82,0.74,1.83,1.38,2.13,0.81,1.7,0.34,1.59,,,,,,
May,,,,,,,,,0.92,2.78,2.09,2.05,1.08,0.89,1.57,0.2,0.15,1.52,2.64,1.39,0.93,1.16,2.62,1.79,,,,,,
June,,,,,,,,,2.81,1.71,2.77,1.29,3.5,0.85,1.84,0.2,3.34,2.38,1.41,1.52,2.18,0.88,2.65,6.13,,,,,,
July,,,,,,,,,3.84,1.79,3.63,3.76,1.45,2.7,2.42,3.86,0.98,0.98,0.79,1.57,1.11,2.79,1.14,5.21,,,,,,
August,,,,,,,,,5.29,1.84,4.33,2.76,4.4,1.63,1.95,2.29,2.59,1.87,0.94,0.52,2.57,1.32,3.78,3.52,,,,,,
September,,,,,,,,,1.12,2.43,0.46,0.54,1.7,1.04,2.24,1.72,3.75,2.59,0.22,2.1,0.85,1.23,1.06,2.12,,,,,,
October,,,,,,,,,1.35,3.69,1.39,3.85,4.29,2.97,3.52,2.17,2.77,0.33,2.74,2.23,1.81,2.06,1.98,5.25,,,,,,
November,,,,,,,,,4.35,1.07,2,1.77,2.38,2.02,3.05,2.73,1.21,1.23,2.18,3.4,2.18,0.57,1.57,2.32,,,,,,
December,,,,,,,,,0.85,1.44,0.69,2.49,1.54,1.74,2.21,3.01,3.07,2.05,1.94,1.32,2.33,2.96,1.13,1.35,,,,,,
Total,,,,,,,,,,22.72,24.02,22.24,25.06,18.47,25.36,20.12,22.57,22.56,17.51,20.79,21.49,17.89,19.39,33.79,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901 Dec 29 Gauge leaking but replaced Jan 1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
