MAUCHLINE (AUCHENFAIL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS473267,Long,-4.419626,Lat,55.510122,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5256/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,0.4,4.75,3.24,4.88,3.76,4.1,2.72,6.65,4.97,2.9,3.52,4.76,3.2,3.93,2.37,,,,,
February,,,,,,,,,,,2.03,1.16,4.96,1.78,5.92,2.63,0.25,2.77,3.72,3.56,2.62,2.24,1.11,2.3,1.31,,1.61,,,
March,,,,,,,,,,,2.64,1.51,2.46,0.57,3.2,1.71,2.51,3.71,2.35,3.05,2.92,1.4,0.97,1.92,1.21,,3.68,,,
April,,,,,,,,,,,1.68,1.31,3.84,3.27,1.41,1.51,4.63,2.58,4.44,3.68,2.52,1.61,1.93,1.21,2.76,,2.16,,,
May,,,,,,,,,,,4.01,1.76,3.99,2.83,4.05,1.11,3.94,1.43,1.79,1.88,2,1.65,2,2.02,3.58,,1.73,,,
June,,,,,,,,,,1.63,1.6,1.76,3.92,3.37,4.97,2.78,3.35,6.25,1.07,3.05,1.7,2.59,1.37,4.72,2.59,,1.97,,,
July,,,,,,,,,,4.89,6.63,4.16,3.32,3.61,3.8,4.14,4.11,3.52,1.92,4.8,4.29,4.29,5.58,6.18,1.41,,,,,
August,,,,,,,,,,3.25,8.32,4.27,5.01,4.37,1.88,2.26,0.21,5.94,3.65,4.33,3.93,3.68,3.04,5.12,1.59,,,,,
September,,,,,,,,,,6.28,1.25,6.06,2.59,4.93,5.37,6.11,5.4,6.14,1.82,10.05,3.12,3,4.24,5.97,4.12,,,,,
October,,,,,,,,,,4.17,3.89,6.5,6.03,4.88,5.01,0.67,1.27,6.63,5.52,4.21,1.82,3.48,3.01,9.34,2.66,,,,,
November,,,,,,,,,,4.29,2.18,1.1,2.8,6.95,0.42,6.21,7.36,3.98,5.31,3.42,4.67,2.32,6.95,5.28,1.76,,,,,
December,,,,,,,,,,6.16,2.63,5.14,2.65,4.9,2.28,3.51,3.64,4.92,7.88,1.6,6.97,3.7,4.43,5.26,6.28,,,,,
Total,,,,,,,,,,,37.26,39.48,44.81,46.34,42.07,36.74,39.39,54.52,44.44,46.53,40.08,34.72,37.83,53.25,31.64,,,,,
