GLASBURY-WOODLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO169395,Long,-3.2131637,Lat,52.047638,Elevation,300,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,3.27,1.97,0.86,0.78,,2.53,1.3,2.24,3.57,4.23,0.97,2.43,0.82,5.77,3.36,2.11,,,,,,,,
February,,,,,,,1.09,0.42,0.86,1.94,,0.24,2.24,3.59,3.7,0.32,0.49,3.14,1.76,4.14,5.13,0.81,,,,,,,,
March,,,,,,,3.27,1.44,3.36,2.61,,1.67,0.85,0.88,2.89,2.02,3.37,4.71,1.23,1.12,1.9,3.64,,,,,,,,
April,,,,,,,2.7,1.3,1.48,3.69,,1.01,0.99,0.2,2.17,2.24,0.98,2.71,2.03,3.3,1.35,2.96,,,,,,,,
May,,,,,,,4.53,1.59,1.05,3.59,,3.46,1.77,3.47,2.67,0.51,0.36,1.47,4.96,2.29,2.85,0.96,,,,,,,,
June,,,,,,,3.43,1,3.08,0.55,,2.48,2.35,2.81,1.59,0.43,1.53,3.26,1.68,1.8,2.68,1.7,,,,,,,,
July,,,,,,,2.14,1.33,3.73,4.6,,1.43,1.61,3.4,4.74,4.62,1.26,2.82,1.08,1.11,2.28,3.09,,,,,,,,
August,,,,,,,1.52,2.28,2.77,2.6,,5.06,3.1,1.12,3.91,2.97,2.13,4.19,3.34,1,4.16,2.18,,,,,,,,
September,,,,,,,3.27,3.19,0.52,2.05,,2.47,1.99,1.54,2.17,0.43,7.16,3.29,0.59,2.68,1.15,1.95,,,,,,,,
October,,,,,,,5.62,1.97,1.39,5.35,,7.99,3.42,2.61,4.33,3.85,3.4,2.01,4.92,4.54,5.41,2.74,,,,,,,,
November,,,,,,,2.83,3.49,8.09,1.74,,2.3,2.82,1.42,5.62,5.94,1,2.26,2.75,2.69,4.1,1.12,,,,,,,,
December,,,,,,,4.7,2.76,4.54,1.81,,4.8,1.96,4.81,2.39,4.24,5.52,5.68,3.64,2.76,5.89,4.82,,,,,,,,
Total,,,,,,,38.37,22.74,31.73,31.31,,35.44,24.4,28.09,39.75,31.8,28.17,37.97,28.8,33.2,40.26,28.08,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Woodlands. Altitudes match as does distance to church but direction does not match, stated as NE but is more WNW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
