CRANMORE-SOUTHILL-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST671426,Long,-2.47153,Lat,51.18182,Elevation,635,ft,,,,,,,,,,,,
Station no,RR8948,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,4.66,3.81,1.27,6.08,1.5,2.67,2.19,4.74,,,,,,,,,
February,,,,2.32,4.24,1.41,3.38,2.72,2.14,0.96,4.86,,,,,,,,,
March,,,,4.35,2.25,4.09,2.91,1.31,3.67,4.05,1.15,,,,,,,,,
April,,,,4.21,2.12,3.04,1.67,7.61,3.04,3.12,2.81,,,,,,,,,
May,,,,3.34,3.85,0.4,5.32,3.7,2.59,1.65,2.35,,,,,,,,,
June,,,,4.33,1.33,3.06,2.22,3.45,0.67,3.55,6.5,,,,,,,,,
July,,,,4.21,2.99,1,1.69,1.97,3.45,4.63,3.88,,,,,,,,,
August,,,,5.43,4,6.22,3.27,,5.73,2.91,5.3,,,,,,,,,
September,,,,2.9,2.62,2.5,1.02,,3.34,4.39,0.23,,,,,,,,,
October,,,,8.7,2.82,2.61,6.04,,2.01,7.25,5.03,,,,,,,,,
November,,,,2.67,3.91,4.13,4.84,,1.64,1.3,5.04,,,,,,,,,
December,,,,3.57,3.33,1.38,3.3,5.49,3.29,4.99,6.91,,,,,,,,,
Total,,,,50.69,37.27,31.11,41.74,,34.24,40.99,48.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1907 Note says 'I regret my records for Aug Sept Oct and Nov were spoiled',,,,,,,,,,,,,,,,,,,,
