BLOCKLEY (Manor House),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP165348,Long,-1.761009,Lat,52.011388,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.8,3.32,4.26,1.33,4.79,1.73,2.77,2.43,2.31,0.79,3.77,4.07,3.04,6.18,3.16,3.45,3.77,5.19,2.15,2.15,2.44,2.17,6.53,1.44,0.45,3.13,2.4,1.3,1.47,2.62,4.44,1.95,2.61,4.67,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.75,3.13,1.99,0.65,0.54,2.73,0.24,3.35,0.53,2.93,2.4,4.59,0.83,1.6,2.98,2.58,0.71,1.5,1.24,2.13,2.14,1.7,1.01,1.4,6.01,3.98,1.01,1.82,2.95,1.7,0.5,2.85,4.04,0.11,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,0.77,2.79,2.43,0.07,1.86,0.11,1.8,2.47,2.3,0.39,1.91,3.71,0.49,1.73,2.09,2.49,1.96,1.06,0.31,1.1,0.94,6.33,1.41,1.88,1.35,4.48,2.86,1.5,2.57,1.86,0.94,2.32,1.4,3.32,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,4.06,2.56,1.03,1.48,3.78,4.11,3.28,0.86,2.81,4.46,2.45,3.64,0.11,2.95,2.19,1.48,1.31,0.78,1.42,1.08,1.82,2.56,2.45,2.07,2.21,3.68,1.95,2.21,0.49,1.16,1.84,0.23,0.8,2.98,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,3.62,3.87,1.41,1.06,1.87,2.23,4.38,6.85,1.6,0.74,2.6,0.72,2.7,1.91,0.94,2.1,2.08,3.58,3.32,2.48,2.09,3.32,1.48,3.49,2.84,2.42,3.55,3.8,2.23,2.74,5.01,1.01,1.44,2.9,0.98,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.17,2.66,3.13,2.7,1.36,2.58,4.3,1.37,1.52,1.64,3.33,2.98,2.08,1.2,2.45,0.73,2.81,0.36,2.36,2.55,3.02,3.4,1.46,2.74,0.47,1.52,0.86,1.62,2.46,3.34,4.25,2.68,0.92,3.99,0.98,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,3.46,2.13,3.33,1.81,1.54,3.87,4.29,1.93,1.26,1.19,0.6,4.92,2.67,2.69,4.75,3.49,4.25,2.15,0.56,2.32,1.56,1.7,3.08,1.17,1.46,3.48,1.01,0.31,4.17,2.49,0.19,2.1,4.01,2.61,1.39,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.16,1.49,4.34,2.22,1.7,2.63,5.88,5.58,0.67,2.01,1.38,0.45,0.81,2.91,1.66,0.13,4.14,3.72,1.82,2.25,1.71,5.76,0.41,3.39,1.06,4.07,5.67,3.99,3.94,4.15,0.44,4.62,4.78,2.69,1.34,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,3.68,1.49,5.75,0.73,0.61,3.4,2.35,3.11,2.01,2.08,5.26,5.33,2.65,2.25,1.36,1.07,0.86,1.43,2.38,3.3,1.8,3.85,2.16,3.11,2.08,3.74,3.88,1.3,2.62,3.23,1.49,3,4.25,3.5,0.08,5.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,3.26,2.47,1.69,4.89,4.08,2.27,0.87,4.2,2.52,1.35,3.36,1.64,3.48,2.99,4.22,3.93,2.1,2.94,2.43,4.43,3.11,1.05,0.48,3.08,5.8,0.53,1.21,4.17,2.64,3.42,1.51,1.63,1.36,3,1.82,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
