WOOTTON-COURTNEY-GREENACRES,,,,,,,,,,,,,,,,,,,,
Grid ref,SS934434,Long,-3.52594,Lat,51.17987,Elevation,400,ft,,,,,,,,,,,,
Station no,2097/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.62,5.99,4.42,5.78,3.45,4.49,4.43,7.38,,,,,,,
February,,,,,,2.59,4.83,0.99,1.76,2.54,3.59,0.35,2.74,,,,,,,
March,,,,,,3.1,4.97,0.06,1.32,2.47,3.58,2.4,1.26,,,,,,,
April,,,,,,2.01,2.6,0.12,4.12,3.59,1.36,2.62,0.7,,,,,,,
May,,,,,,0.94,2.01,2.97,1.14,1.79,1.97,5.89,3.85,,,,,,,
June,,,,,,2.67,0.84,1.48,2.32,0.73,1.86,0.67,1.65,,,,,,,
July,,,,,,7.19,1.55,2.39,5.31,2.57,1.77,2.28,3.07,,,,,,,
August,,,,,,0.32,0.57,5.81,2.59,0.15,3.8,3.8,2.57,,,,,,,
September,,,,,,2.6,3.24,1,0.57,1.08,0.63,2.97,4.72,,,,,,,
October,,,,,,2.22,4.6,4.47,2.62,5.4,2.25,3.58,3.42,,,,,,,
November,,,,,5.18,,1.96,5.61,6.35,6.99,,1.48,3.41,,,,,,,
December,,,,,4.29,,2.73,5.09,2.68,1.16,3.65,4.75,3.01,,,,,,,
Total,,,,,,,35.89,34.41,36.56,31.92,,35.22,37.78,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Previously at Banwell Stn No 2032,,,,,,,,,,,,,,,,,,,,
"Census Higher Brockwell, Alverstoke, Robin How, Greenacres",,,,,,,,,,,,,,,,,,,,
1936 May 1 Gauge moved 25yds S,,,,,,,,,,,,,,,,,,,,
1936 Nov Dec Marked as estimated,,,,,,,,,,,,,,,,,,,,
1941 Nov Mostly estimated Gauge leaking,,,,,,,,,,,,,,,,,,,,
1943 Jan Marked as estimated Possibly for snow,,,,,,,,,,,,,,,,,,,,
1944 Station terminated Observer unable to continue due to ill health,,,,,,,,,,,,,,,,,,,,
