MAIDENHEAD-THE-FIRS-CASTLE-HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,SU880810,Long,-0.73304307,Lat,51.521073,Elevation,170,ft.,,,,,,,,,,,,
Station no,RR4744,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.86,0.78,2.5,2.48,0.75,3.79,0.76,1.9,0.89,1.91,,,,,,,,,
February,,1.08,0.94,0.86,2.71,0.45,1.84,1.5,1.28,0.35,2.59,,,,,,,,,
March,,1.64,1.8,2.85,1.22,3.54,1.35,1.07,3.2,2.77,0.98,,,,,,,,,
April,,2.48,0.88,2.3,1.27,1.85,0.45,2.68,3.66,1.98,,,,,,,,,,
May,,0.49,2.27,3.07,2.61,0.74,1.97,1.91,1.73,1.32,,,,,,,,,,
June,,0.7,3.28,6.4,0.9,3.81,2.32,1.84,1.07,4.27,,,,,,,,,,
July,,6.62,0.89,4.6,2.78,0.42,0.24,2.25,2.35,3,,,,,,,,,,
August,,1.87,2.96,3.16,1.99,2.14,0.77,1.83,2.61,4.46,,,,,,,,,,
September,,1.58,0.71,2.35,1.46,1.73,1.06,0.71,1.67,2.52,,,,,,,,,,
October,,2.35,1.54,7.65,1.7,1.3,4.3,4.51,2.47,4.27,,,,,,,,,,
November,,0.47,2.3,1.83,1.78,2.44,2.83,2.17,0.87,0.56,,,,,,,,,,
December,,3.56,1.3,2.21,2.32,1.1,2.96,3.09,2.43,2.24,,,,,,,,,,
Total,,23.7,19.65,39.78,23.22,20.27,23.88,24.32,25.24,28.63,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR the old Roman Site, which was excavated at The Firs Castle Hill.",,,,,,,,,,,,,,,,,,,,
 Altitudes match.,,,,,,,,,,,,,,,,,,,,
100m from LOWOOD,,,,,,,,,,,,,,,,,,,,
