DALNASPIDAL STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 644 733,Long,-4.223421,Lat,56.831596,Elevation,1414,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,7.88,12.2,8,9.07,5.91,8.26,6.02,1.84,4.51,0.84,7.04,7.97,9.45,4.65,6.46,7.1,5.68,4.84,15.17,6.48,7.17,4.12,11.92,3.93,4.93,3.03,5.86,
February,,,8,0.95,2.75,2.02,4.75,7.04,3,4.12,8.92,3.47,5.75,6.83,5.36,8.75,2.32,7.49,1.04,5.37,2.07,1.79,2.65,7.59,14.82,1.31,3.3,5.49,7.88,
March,,,3,2.62,7.84,3.37,9.18,3.28,5.28,7.58,2.82,3.02,9.08,3.23,4.14,3.86,4.2,2.72,4.32,3.22,6.57,5.18,1.33,2.61,6.21,4.87,6.26,9.7,3.44,
April,,,3.29,2.32,4.48,2.04,2.83,4.83,1.92,2.82,5.86,1.73,3.58,2.41,2.44,2.64,4.38,2.37,2.57,5.31,4.28,2.44,2.15,2.11,2.36,4.46,3.56,3.92,5.82,
May,,,3.19,4.39,3.16,4.02,1.65,4.57,5.88,3.07,2.38,3.87,4.69,3.69,4.39,5.28,4.82,1.13,5.71,3.49,3.43,3.81,5.38,1.51,3.81,1.36,1.27,4.23,3.62,
June,,,7.35,3.57,2.62,3.1,4.48,8.12,4.36,6.13,2.84,4.64,6.11,3.16,1.17,1.46,2.05,1.17,3.52,1.13,4.65,1.74,4.8,2.34,2.86,2.57,4.65,5.76,3.81,
July,,,4.15,7.19,6.05,3.69,2.87,3.96,0.77,5.47,4.24,5.04,5.45,5.03,5.53,1.04,4.36,3.61,6.66,2.73,4.68,4.19,3.98,5.54,4.84,4.9,3.96,2.98,,
August,,,3.79,4.6,7.15,5.64,2.88,5.9,7.25,5.9,0.6,4.29,3.5,6.82,5.1,4.43,2.17,3.44,3.39,7.81,4.18,5.32,7.6,5.69,6.48,7.13,3.19,9.56,,
September,,,7.31,6.01,7.79,6.51,4.18,3.78,6.82,5.23,3.44,4.21,4.78,5.09,5.48,9.29,7.18,4.64,1.56,1.93,4.01,7.85,8.38,4.48,0.55,2.57,8.19,5.49,,
October,,,6.83,8.97,11.78,8.29,8.44,10.8,8.66,3.21,2.28,6.12,5.89,8.89,6.96,5.24,5.47,3.73,7.21,5.53,7.17,7.69,6.68,6.86,3.79,4.53,7.61,5.06,,
November,,,10.12,4.06,4.9,4.71,2.9,11.7,4.24,2.99,8.7,11.03,7.73,8.72,7.59,5.21,6.46,5.79,10.12,2.99,8.28,5.99,6.57,4.26,6.56,9.18,2.15,4.72,,
December,,,7.91,9.21,2.7,10.63,7.43,9.1,4.99,5.07,4.68,5.73,6.79,5.81,9.32,5.28,4.48,4.32,4.88,5.86,1.54,10.18,3.78,10.06,7.16,8.11,8.84,9.07,,
Total,,,72.82,66.09,69.22,63.09,57.5,81.34,59.19,53.43,51.27,53.99,70.39,67.65,66.93,57.13,54.35,47.51,56.66,50.21,66.03,62.66,60.47,57.17,71.36,54.92,57.91,69.01,,
