"THEYDON BOIS (BIRCH HALL)",,,,,,,,,,,,
Grid ref,TQ439993,Long,0.079688,Lat,51.674045,,,,,,,
Station no,1264,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.24,1.48,0.84,,1.92,3.07,1.52,2.34,1.96,1.99,,
February,5.57,0.98,1.77,,1.39,0.46,3.00,2.90,0.14,2.28,,
March,3.21,2.88,0.45,,1.09,0.88,1.16,0.99,1.80,1.07,,
April,2.86,0.86,2.50,,0.11,1.36,0.26,1.31,2.31,0.49,,
May,2.18,1.41,0.95,,4.09,0.50,1.37,2.66,0.84,1.93,,
June,0.57,1.07,1.59,,2.21,2.15,0.71,5.93,0.93,2.16,,
July,0.95,0.63,3.71,,0.16,3.83,3.26,2.85,1.69,3.26,,
August,4.51,2.20,1.79,,1.13,4.74,2.33,3.41,1.41,2.18,,
September,3.08,3.27,1.86,,2.06,1.71,3.26,4.27,0.04,4.48,,
October,0.68,2.06,3.57,,2.49,2.58,1.95,2.21,1.63,6.64,,
November,4.18,3.33,0.83,,0.80,0.75,2.10,1.74,2.72,3.35,,
December,1.73,2.01,0.70,,1.78,2.50,2.25,2.86,3.65,2.80,,
Total,31.76,22.18,20.56,,19.23,24.53,23.17,33.47,19.12,32.63,,
Calc annual,31.76,22.18,20.56,0.00,19.23,24.53,23.17,33.47,19.12,32.63,,
Difference,0.00,0.00,0.00,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,,
