HARTFORD-HOLLYBANK,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ634720,Long,-2.5499089,Lat,53.243751,Elevation,160,ft.,,,,,,,,,,,,
Station no,2774/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.75,3.83,2.94,3.75,4.74,2.15,2.19,2.51,4.58,3.84,2.23,2.97,1.82,6.24,,
February,,,,,2.53,2.02,4.73,0.86,2.31,2.03,3.11,1.33,1.57,1.46,2.35,4.61,0.75,1.51,,
March,,,,,1.06,1.43,1.35,0.83,1.73,2.32,2.84,1.76,1.26,0.91,0.68,0.54,5.6,0.65,,
April,,,,,2.28,1.76,3.15,0.34,1.72,2.4,1.16,1.46,1.71,1.68,1.47,0.93,2.05,1.54,,
May,,,,,1.33,1.1,2.75,2.47,1.31,1.17,2.17,3.08,2.15,1.97,3.94,1.57,2.56,1.25,,
June,,,,,4.06,2.64,1.01,2.57,2.33,1.17,1.31,0.28,2.93,2.36,3.09,3.51,2.04,4.14,,
July,,,,,0.63,3.8,1.9,2.99,7.83,4.01,1.61,3.33,3.3,3.1,1.41,3.54,1.86,2.67,,
August,,,,,1.49,1.77,3.61,3.73,1.46,0.73,3.72,2.55,3.72,2.62,2.47,5.43,0.35,4.44,,
September,,,,,4.9,5.55,1.28,1.16,0.87,2.82,1.03,2.33,4.02,4.11,1.64,3.23,1.84,,,
October,,,,3.52,4.15,2.19,2.15,4.12,2.29,3.86,3.9,3.31,3.62,4.09,4.85,1.11,0.66,,,
November,,,,2,4.51,2.95,2.1,3.97,4.21,6.42,2.34,0.64,2.58,4.99,0.59,4.67,3.18,,,
December,,,,5.13,3.18,3.49,2.75,3.66,1.76,2.62,1,3.84,1.5,2.24,2.81,3.24,2.11,,,
Total,,,,,31.87,32.53,29.72,30.45,32.56,31.7,26.38,26.42,32.94,33.37,27.53,35.35,24.82,,,
,,,,,,,,,,,,,,,,,,,,
NGR is in Hartford with the stated relationship to church and station. Altitudes match. ,,,,,,,,,,,,,,,,,,,,
"Cannot locate Hollybank. 1940s record has an NGR of SJ642746, which is 2.7km N and at the wrong the altitude; this NGR is used in the CEDA archive",,,,,,,,,,,,,,,,,,,,
