OKEHAMPTON-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX589948,Long,-4.0003,Lat,50.7359,Elevation,520,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,6.62,,5.56,,3.94,,,,10.19,9.46,2.08,8.34,5.44,,4.88,5.85,1.32,7.34,,,,
February,,,,,,,,,,3.63,,0.31,,10.99,,,,4.49,5.14,1.39,2.86,3.58,,6.9,0.23,6.2,5.8,,,,
March,,,,,,,,,,6.99,,5.28,,1.7,,,,6.78,5.75,0.38,3.76,1.69,,5.56,4.33,1.94,3.44,,,,
April,,,,,,,,,,3.62,,0.92,,4.51,,,,1.4,2.38,0.79,4.92,4.12,,1.5,4.05,6.6,2.58,,,,
May,,,,,,,,,,1.94,,1.96,,3.67,,,,1.29,1.01,3.97,2.34,3.08,,3.49,3.02,2.46,0.4,,,,
June,,,,,,,,,,2.59,,0.11,,0.71,,,,3.41,1.81,2.69,0.71,3.06,,2.06,2.63,4.26,2.43,,,,
July,,,,,,,,,,2.34,,1.52,,1.85,,,,6.67, ,1.33,2.12,6.51,,2.7,1.1,0.52,7.06,,,,
August,,,,,,,,,,3.92,,2.74,,3.48,,,,4.05,3.42,1.13,5.24,5.08,,1.93,4.36,2.22,0.52,,,,
September,,,,,,,,,,2.58,,1.47,,3.61,,,,5.69,2.31,0.08,5.9,3.79,,2.15,3.82,6.31,2.73,,,,
October,,,,,,,,,,3.18,,2.13,,9.6,,,,3.58,6.25,9.04,7.23,1.41,,5.42,5.92,6.42,2.29,,,,
November,,,,,,,,,,5.56,,2.55,,5.66,,,,5.5,9.58,14.96,8.57,8.98,,1.72,2.44,7.55,5.63,,,,
December,,,,,,,,,,8.96,,5.19,,4.95,,,,5.27,6.28,13.42,5.19,3.15,,2.31,13.18,5.72,3.35,,,,
Total,,,,,,,,,,51.93,,29.74,,54.67,,,,58.32, ,51.26,57.18,49.89,,40.62,50.93,51.52,43.57,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 RECORD TERMINATED. RECORD KEPT BY PUPILS AND IS UNRELIABLE AND INTERMITTENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Alt changes to 510ft suggesting a move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Alt changes to 542ft suggesting move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Alt changes back to 500ft suggesting another move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"School grounds appear to be sloped, so these change in elevation could be very small moves around the school buildings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 July Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
