OVERTON-SODYLT-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ346406,Long,-2.975018,Lat,52.958765,Elevation,267,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,3.44,1.73,3.21,1.13,1.55,2.41,2.59,,3.75,4.62,1.46,2.62,2.83,3.4,3.28,5.35,1.24,5.42,2.2,3.3,2.01,2.03,1.14,4.5,3.14,3.71,5.62,2.06,4.01,3.52,5.35,,,3.32,3.64,5.89,1.78,1.6,2.2,3.66,0.56,2.24,2.55,4.76,,2.6,3.42,5.09
February,,,,1.78,3.56,4.53,2.69,1.1,2,2.62,,0.26,2.86,5.16,0.5,4.71,2.4,1.85,2.66,0.62,1.11,2.56,0.16,2.42,0.18,3.16,2.35,4.32,0.76,2.21,3.23,3.99,1.13,1.59,,,3.3,2.3,2.24,1.74,4.28,3.01,0.69,1.32,3.26,2.35,0.58,,5.08,0.25,3.77
March,,,,5.01,3.12,0.81,3.14,2.8,1.11,4.44,,1.56,2.07,1.88,1.33,1.09,0.61,2.53,2.31,0.28,3.45,0.52,1.53,2.12,2.22,0.67,4.05,1.98,0.49,2.47,2.42,2.71,2.21,1.07,,,1.26,6.16,0.68,1.64,1.24,4.79,0.76,0.77,2.87,3.07,1.32,,1.21,2.16,1.38
April,,,,4.96,0.95,1.09,0.98,1.4,1.75,1.62,,0.99,2.89,2.58,2.63,1.77,1.45,2.66,1.18,0.7,3.05,2.88,3.98,0.92,3.02,2.49,2.2,1.9,0.25,2.13,2.81,1.75,2.2,1.14,,,0.92,3.48,2.55,2.46,2.07,1.66,2.42,2.65,0.2,1.36,1,,0.21,5.18,1.6
May,,,,2.38,1.55,2.87,3.47,3.75,2.62,1.16,,1.27,0.51,3.8,4.91,2.8,3.06,1.28,1.94,1.75,3.05,3.92,4.23,1.42,1.29,1.28,1.44,2.11,2.68,1.66,2.01,2.69,5.3,3.35,,,2.8,2,1.12,3.02,0.48,3.54,2.09,2.35,3.49,3.86,0.54,,2.43,2.56,2.49
June,,,,1.51,2.04,1.02,1.29,2.97,0.67,1.23,,0.16,1.07,0.53,1.97,0.02,1.09,3.98,3.92,2.23,0.74,5.15,1.28,1.4,1.04,3.43,4.01,1.67,2.6,2.73,1.31,0.71,0.3,1.95,,,2.53,,4.32,0.61,0.35,1.37,3.03,1.96,3.78,3.62,1.17,,4.43,2.95,1.71
July,,,,1.31,3.29,3.61,1.37,1.29,4.06,1.61,,0.59,3.39,2.22,5.79,2.78,2.9,3.18,1.43,1.86,2.96,2.11,4.65,1.16,0.52,0.79,2.81,2.11,2.97,6.18,3.88,2,2.08,2.08,,,1.92,3.68,2.07,2.8,1.89,1.38,0.87,2.42,2.69,0.58,3.34,,4.02,2.9,3.02
August,,,,1.5,2.7,3.47,1.23,6.06,2.92,2.88,,3.29,2.34,3.01,2.61,3.16,2.66,4.51,2.73,2.32,3.34,6.25,1.72,0.76,2.68,1.08,0.82,3.12,5.42,1.88,0.2,3.5,5.52,2.11,,,4.69,,4.57,1.15,5.21,3.42,1.92,2.27,3.22,0.89,4.11,,4.19,1.15,4.95
September,,,,1.48,1.42,0.44,2.12,1.18,6.79,1.59,,0.69,2.89,2.51,3.84,2.64,2.85,3.84,1.98,2,3.89,4.02,2.31,0.84,1.53,4.5,3.39,1.16,1.27,1.31,1.81,0.52,1.65,3.77,,,3.8,1.8,1.41,0.9,5.06,2.28,2.36,3.4,3.13,1.46,3.09,,4.57,0.31,4.85
October,,,,5.03,1.73,2.68,5.02,3.94,1.3,3.59,,2.34,0.93,4.13,3.24,3.71,2.62,2.78,4.76,4.82,4.16,0.99,5.29,3.66,2.85,4.38,1.23,3.13,4,2.8,4.19,2.51,1.24,4.11,,,1.29,0.85,1.95,4.91,1.78,1.17,5.9,1.61,5.31,1.97,2.5,,2.93,2.45,6.49
November,,,,2.8,3.8,3.91,3.66,2.32,1.63,1.66,,2.87,1.28,2.61,1.91,2.69,6.01,3.76,5.03,6.78,3.63,5.99,2.31,1.45,1.66,4.74,2.61,1.99,4.46,4.88,6.83,3.06,0.91,1.97,,,6.19,1.85,1.92,2.97,3.39,6.46,1.98,2.37,7.41,2.19,0.99,,1.64,4.5,5.72
December,,,,1.85,7.76,6.57,2.08,1,3.94,4.77,,2.45,4.33,3.42,4.83,3.3,0.62,1.87,2.45,6.82,5.23,1.71,1.49,0.57,5.51,3.14,4.31,3.07,2.63,1.81,1.68,1.65,3.59,1.55,,,3.78,2.06,3.86,1.98,2.06,4.28,3.01,1.34,2.86,3.39,3.46,,3.27,4.87,4.18
Total,,,,33.05,33.65,34.21,28.18,29.36,31.2,29.76,,20.22,29.18,33.31,36.18,31.5,29.67,35.52,35.74,31.42,40.03,38.3,32.25,18.73,24.53,30.8,33.72,29.7,31.24,35.68,32.43,29.1,29.65,30.04,,,35.8,,32.58,25.96,29.41,35.56,28.69,23.02,40.46,27.29,26.86,,36.58,32.7,45.25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan & Feb 1940 readings noted as being corrected for snow; the readings have been left in place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jun & Aug 1947 readings in brackets, no explanation; removed along with the annual total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1920, 1944, 1945 and 1957 are all missing form the original record; no explanation given",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
